repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
GokuMohandas/Made-With-ML,66e8e437115029422db1a80ff93c308cfcd82648,https://github.com/GokuMohandas/Made-With-ML/commit/66e8e437115029422db1a80ff93c308cfcd82648,GokuMohandas,8000987,User,2023-12-07T19:37:37+00:00,web-flow,2023-12-07T19:37:37+00:00,"Merge pull request #248 from GokuMohandas/dev

updated cluster env and local catch for efs",454,402,856,11,"540754392af9f49e637b491009586a61c54e2268,be3d2732a8f73dd0257e72ca542c748766fbd170"
GokuMohandas/Made-With-ML,be3d2732a8f73dd0257e72ca542c748766fbd170,https://github.com/GokuMohandas/Made-With-ML/commit/be3d2732a8f73dd0257e72ca542c748766fbd170,GokuMohandas,8000987,User,2023-12-07T19:36:49+00:00,GokuMohandas,2023-12-07T19:36:49+00:00,"updated cluser compute, environment and workloads",8,9,17,4,11ab35b251fdfbc0f9e518a5cd7e629580de85ef
GokuMohandas/Made-With-ML,11ab35b251fdfbc0f9e518a5cd7e629580de85ef,https://github.com/GokuMohandas/Made-With-ML/commit/11ab35b251fdfbc0f9e518a5cd7e629580de85ef,GokuMohandas,8000987,User,2023-12-07T19:34:26+00:00,GokuMohandas,2023-12-07T19:34:26+00:00,added local catch for EFS OS/permissions issues,446,393,839,7,540754392af9f49e637b491009586a61c54e2268
GokuMohandas/Made-With-ML,540754392af9f49e637b491009586a61c54e2268,https://github.com/GokuMohandas/Made-With-ML/commit/540754392af9f49e637b491009586a61c54e2268,GokuMohandas,8000987,User,2023-09-19T20:56:37+00:00,web-flow,2023-09-19T20:56:37+00:00,"Merge pull request #241 from GokuMohandas/dev

updating to Ray 2.7",14,12,26,2,"14671a438a20a4c2d827f5cd97bc8f72fd1f364d,f682fbffa420dd8a51928f39e742d92e61dfad0f"
GokuMohandas/Made-With-ML,f682fbffa420dd8a51928f39e742d92e61dfad0f,https://github.com/GokuMohandas/Made-With-ML/commit/f682fbffa420dd8a51928f39e742d92e61dfad0f,GokuMohandas,8000987,User,2023-09-19T20:56:16+00:00,GokuMohandas,2023-09-19T20:56:16+00:00,updating to Ray 2.7,14,12,26,2,14671a438a20a4c2d827f5cd97bc8f72fd1f364d
GokuMohandas/Made-With-ML,14671a438a20a4c2d827f5cd97bc8f72fd1f364d,https://github.com/GokuMohandas/Made-With-ML/commit/14671a438a20a4c2d827f5cd97bc8f72fd1f364d,GokuMohandas,8000987,User,2023-09-19T05:08:25+00:00,GokuMohandas,2023-09-19T05:08:25+00:00,updated project id for workloads,2,2,4,2,b98bd5b1aeaafced5468041f0072d0ca7ab1f85c
GokuMohandas/Made-With-ML,b98bd5b1aeaafced5468041f0072d0ca7ab1f85c,https://github.com/GokuMohandas/Made-With-ML/commit/b98bd5b1aeaafced5468041f0072d0ca7ab1f85c,GokuMohandas,8000987,User,2023-09-19T05:03:20+00:00,GokuMohandas,2023-09-19T05:03:20+00:00,updated to Ray 2.7,3345,1947,5292,15,71b3d50a051464e35c4e9628b4301c3ec7b1573a
GokuMohandas/Made-With-ML,71b3d50a051464e35c4e9628b4301c3ec7b1573a,https://github.com/GokuMohandas/Made-With-ML/commit/71b3d50a051464e35c4e9628b4301c3ec7b1573a,GokuMohandas,8000987,User,2023-09-15T16:46:18+00:00,web-flow,2023-09-15T16:46:18+00:00,"Merge pull request #239 from GokuMohandas/dev

adding dotenv for credentials management",1656,1735,3391,9,"0133795963bf413b1e7a3650f89a246355cb16a8,097ffaadc8cf22c9a208dc37441a14c28b10fbac"
GokuMohandas/Made-With-ML,097ffaadc8cf22c9a208dc37441a14c28b10fbac,https://github.com/GokuMohandas/Made-With-ML/commit/097ffaadc8cf22c9a208dc37441a14c28b10fbac,GokuMohandas,8000987,User,2023-09-15T16:44:38+00:00,GokuMohandas,2023-09-15T16:44:38+00:00,adding dotenv for credentials management,1656,1735,3391,9,0133795963bf413b1e7a3650f89a246355cb16a8
GokuMohandas/Made-With-ML,0133795963bf413b1e7a3650f89a246355cb16a8,https://github.com/GokuMohandas/Made-With-ML/commit/0133795963bf413b1e7a3650f89a246355cb16a8,GokuMohandas,8000987,User,2023-08-19T13:41:40+00:00,web-flow,2023-08-19T13:41:40+00:00,"Merge pull request #238 from GokuMohandas/dev

trigger ci/cd workflows",1,1,2,1,"7f1ecdcd3bdd730752a9da64ce4fa6848572dddf,e94c98df775466cb96dec5d6dd4e02b09985fd15"
