repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
PrefectHQ/prefect,8361f0c5a41cd85991e29921af11b31445144b5f,https://github.com/PrefectHQ/prefect/commit/8361f0c5a41cd85991e29921af11b31445144b5f,zzstoatzz,31014960,User,2025-05-12T13:45:52+00:00,web-flow,2025-05-12T13:45:52+00:00,make `RedisLockManager` picklable for ray/dask compat (#18018),149,3,152,2,7f25bbdf45fc81cca6dc23fb6a7377d436b70c83
PrefectHQ/prefect,7f25bbdf45fc81cca6dc23fb6a7377d436b70c83,https://github.com/PrefectHQ/prefect/commit/7f25bbdf45fc81cca6dc23fb6a7377d436b70c83,dependabot[bot],49699333,Bot,2025-05-12T01:08:05+00:00,web-flow,2025-05-12T01:08:05+00:00,chore(deps-dev): bump typescript-eslint from 8.31.1 to 8.32.0 in /ui-v2 in the eslint group (#18023),61,60,121,2,f9346cb6934abec911bf71b8a871eeb05300382f
PrefectHQ/prefect,f9346cb6934abec911bf71b8a871eeb05300382f,https://github.com/PrefectHQ/prefect/commit/f9346cb6934abec911bf71b8a871eeb05300382f,zzstoatzz,31014960,User,2025-05-09T15:04:18+00:00,web-flow,2025-05-09T15:04:18+00:00,misc type fixes in `prefect-shell` (#18002),63,47,110,3,93b1002f14343c93084412b52a3c7a8ee2b27c24
PrefectHQ/prefect,93b1002f14343c93084412b52a3c7a8ee2b27c24,https://github.com/PrefectHQ/prefect/commit/93b1002f14343c93084412b52a3c7a8ee2b27c24,desertaxle,12350579,User,2025-05-09T14:36:13+00:00,web-flow,2025-05-09T14:36:13+00:00,Move generation hooks to pre-push (#18010),8,0,8,1,2f1e62eea9776399cb808ee5cdccc5048a6d650a
PrefectHQ/prefect,2f1e62eea9776399cb808ee5cdccc5048a6d650a,https://github.com/PrefectHQ/prefect/commit/2f1e62eea9776399cb808ee5cdccc5048a6d650a,desertaxle,12350579,User,2025-05-09T14:14:53+00:00,web-flow,2025-05-09T14:14:53+00:00,Disable `kopf` scanning for `prefect-kubernetes` observer (#18013),5,0,5,1,b47ad8e12d507c5f24bb8a6582db409ad6ba21be
PrefectHQ/prefect,b47ad8e12d507c5f24bb8a6582db409ad6ba21be,https://github.com/PrefectHQ/prefect/commit/b47ad8e12d507c5f24bb8a6582db409ad6ba21be,znicholasbrown,27291717,User,2025-05-08T19:50:43+00:00,web-flow,2025-05-08T19:50:43+00:00,Bugfix: Scatterplot pagination (#18009),5,4,9,1,0dadc0bf80981128dadfb91a050a20644bdbfe49
PrefectHQ/prefect,0dadc0bf80981128dadfb91a050a20644bdbfe49,https://github.com/PrefectHQ/prefect/commit/0dadc0bf80981128dadfb91a050a20644bdbfe49,marvin-robot,41086007,User,2025-05-08T19:39:40+00:00,web-flow,2025-05-08T19:39:40+00:00,"Update @prefecthq/prefect-design to version 2.14.25 (#18011)

Co-authored-by: marvin-robot <marvin-robot@users.noreply.github.com>",8,8,16,2,e18d4dcc285314208018b1f77f0c313f0d8b56f1
PrefectHQ/prefect,e18d4dcc285314208018b1f77f0c313f0d8b56f1,https://github.com/PrefectHQ/prefect/commit/e18d4dcc285314208018b1f77f0c313f0d8b56f1,kevingrismore,146098880,User,2025-05-08T18:25:05+00:00,web-flow,2025-05-08T18:25:05+00:00,Add deployment versioning docs (#17974),260,3,263,3,ca4119ed86f57106d5a62e4e20a22a7dee5f7e01
PrefectHQ/prefect,ca4119ed86f57106d5a62e4e20a22a7dee5f7e01,https://github.com/PrefectHQ/prefect/commit/ca4119ed86f57106d5a62e4e20a22a7dee5f7e01,desertaxle,12350579,User,2025-05-08T17:31:17+00:00,web-flow,2025-05-08T17:31:17+00:00,"Refactor Kubernetes worker to reduce statefulness (#18004)

Co-authored-by: nate nowack <thrast36@gmail.com>",1791,1966,3757,21,b6a186b691e643a2bc5b92730c0b689deaa52a29
PrefectHQ/prefect,b6a186b691e643a2bc5b92730c0b689deaa52a29,https://github.com/PrefectHQ/prefect/commit/b6a186b691e643a2bc5b92730c0b689deaa52a29,chrisguidry,8194,User,2025-05-08T16:39:00+00:00,web-flow,2025-05-08T16:39:00+00:00,Uses UUIDv7 for the IDs of time-oriented objects (#18008),107,42,149,20,a54b1ebafcf409539aa8e2a49453e6ef1f502ad4
