repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
academic/awesome-datascience,8151079177776db8022d51f6f981fc9a8361c740,https://github.com/academic/awesome-datascience/commit/8151079177776db8022d51f6f981fc9a8361c740,hmert,182906.0,User,2025-04-29T17:59:12+00:00,web-flow,2025-04-29T17:59:12+00:00,"Merge pull request #489 from rcap107/patch-1

Adding skrub package",2,0,2,1,"564cb5727f0f15f20057dcaafcd16fcbe2a13c5d,b8cdc50d70874c2cad3872a21f52a35414eee61a"
academic/awesome-datascience,b8cdc50d70874c2cad3872a21f52a35414eee61a,https://github.com/academic/awesome-datascience/commit/b8cdc50d70874c2cad3872a21f52a35414eee61a,rcap107,7548232.0,User,2025-04-29T09:41:32+00:00,web-flow,2025-04-29T09:41:32+00:00,Adding skrub library,2,0,2,1,564cb5727f0f15f20057dcaafcd16fcbe2a13c5d
academic/awesome-datascience,564cb5727f0f15f20057dcaafcd16fcbe2a13c5d,https://github.com/academic/awesome-datascience/commit/564cb5727f0f15f20057dcaafcd16fcbe2a13c5d,fakturk,126132.0,User,2025-03-06T23:36:58+00:00,web-flow,2025-03-06T23:36:58+00:00,"Merge pull request #483 from Paras-96/patch-10

Added one useful resource",1,0,1,1,"64996087fc4a6b6076398579046860aaab9ba379,8dea2170296fb22e4a8eb16c0f5ac8c8514de0ff"
academic/awesome-datascience,64996087fc4a6b6076398579046860aaab9ba379,https://github.com/academic/awesome-datascience/commit/64996087fc4a6b6076398579046860aaab9ba379,hmert,182906.0,User,2025-03-06T20:23:07+00:00,web-flow,2025-03-06T20:23:07+00:00,"Merge pull request #484 from deadsoul44/patch-1

Add PerpetualBooster",1,0,1,1,"898f7945ec29ea58c9062fa214127bff4b17eed7,80ffead0b46e2e13e139e53f7bc1237e003e6e13"
academic/awesome-datascience,80ffead0b46e2e13e139e53f7bc1237e003e6e13,https://github.com/academic/awesome-datascience/commit/80ffead0b46e2e13e139e53f7bc1237e003e6e13,deadsoul44,31016182.0,User,2025-03-06T14:32:30+00:00,web-flow,2025-03-06T14:32:30+00:00,"Add PerpetualBooster

Add PerpetualBooster",1,0,1,1,898f7945ec29ea58c9062fa214127bff4b17eed7
academic/awesome-datascience,8dea2170296fb22e4a8eb16c0f5ac8c8514de0ff,https://github.com/academic/awesome-datascience/commit/8dea2170296fb22e4a8eb16c0f5ac8c8514de0ff,Paras-96,169983983.0,User,2025-03-05T09:52:02+00:00,web-flow,2025-03-05T09:52:02+00:00,"Added one useful resource 

Added the Best Data Science Courses with Certificates URL to the Other Awesome Lists section, providing useful insights to aspiring data science professionals.

Please let me know if further changes are required.

Thank you!",1,0,1,1,898f7945ec29ea58c9062fa214127bff4b17eed7
academic/awesome-datascience,898f7945ec29ea58c9062fa214127bff4b17eed7,https://github.com/academic/awesome-datascience/commit/898f7945ec29ea58c9062fa214127bff4b17eed7,hmert,182906.0,User,2025-03-04T21:25:06+00:00,web-flow,2025-03-04T21:25:06+00:00,"Merge pull request #478 from Paras-96/patch-9

Added one useful resource",1,0,1,1,"40f1a4efc7ace3c41cf923db1642e7c63c7608b9,32138454f1f706f98c4ced190c278b23e6f90871"
academic/awesome-datascience,40f1a4efc7ace3c41cf923db1642e7c63c7608b9,https://github.com/academic/awesome-datascience/commit/40f1a4efc7ace3c41cf923db1642e7c63c7608b9,hmert,182906.0,User,2025-02-26T14:14:19+00:00,web-flow,2025-02-26T14:14:19+00:00,Merge pull request #480 from joergrech/patch-1,2,0,2,1,"f58b206985370e6bdd6333820d9efa5af2b09e63,66723f01d03a156ce3eee9e61b18e85cee52ce8d"
academic/awesome-datascience,66723f01d03a156ce3eee9e61b18e85cee52ce8d,https://github.com/academic/awesome-datascience/commit/66723f01d03a156ce3eee9e61b18e85cee52ce8d,joergrech,1006443.0,User,2025-02-26T10:26:20+00:00,web-flow,2025-02-26T10:26:20+00:00,"Added dataset: ""250k+ Job Postings""",2,0,2,1,f58b206985370e6bdd6333820d9efa5af2b09e63
academic/awesome-datascience,32138454f1f706f98c4ced190c278b23e6f90871,https://github.com/academic/awesome-datascience/commit/32138454f1f706f98c4ced190c278b23e6f90871,Paras-96,169983983.0,User,2025-02-18T07:11:23+00:00,web-flow,2025-02-18T07:11:23+00:00,"Added one useful resource 

Added the 40+ Data Analytics project ideas URL to the section - Other Awesome Lists, providing useful insights to aspiring data science professionals.

Please let me know if further changes are required.

Thank you!",1,0,1,1,f58b206985370e6bdd6333820d9efa5af2b09e63
academic/awesome-datascience,f58b206985370e6bdd6333820d9efa5af2b09e63,https://github.com/academic/awesome-datascience/commit/f58b206985370e6bdd6333820d9efa5af2b09e63,hmert,182906.0,User,2025-02-11T15:14:24+00:00,web-flow,2025-02-11T15:14:24+00:00,"Merge pull request #472 from Paras-96/patch-7

Added two useful resource",2,1,3,1,"b015d1f9ddccf5368d489abc37ea6e448e9f8ef5,fafdcf5d7bcf844508f7bc9cd053f0cd303931b8"
academic/awesome-datascience,fafdcf5d7bcf844508f7bc9cd053f0cd303931b8,https://github.com/academic/awesome-datascience/commit/fafdcf5d7bcf844508f7bc9cd053f0cd303931b8,Paras-96,169983983.0,User,2025-01-14T07:35:34+00:00,web-flow,2025-01-14T07:35:34+00:00,"Added two useful resource 

Added the Top 13 Data Science Programming Languages and AI in Data Science: Uses, Roles, and Tools URLs to the section - Other Awesome Lists, providing useful insights to the aspiring 
tech professionals.

Please let me know if further changes are required.

Thank you!",2,1,3,1,b015d1f9ddccf5368d489abc37ea6e448e9f8ef5
academic/awesome-datascience,b015d1f9ddccf5368d489abc37ea6e448e9f8ef5,https://github.com/academic/awesome-datascience/commit/b015d1f9ddccf5368d489abc37ea6e448e9f8ef5,hmert,182906.0,User,2025-01-13T14:03:53+00:00,web-flow,2025-01-13T14:03:53+00:00,"Merge pull request #471 from Paras-96/patch-6

Added two useful resource",2,0,2,1,"80daaa48db565c3ad0b0205971bc35583772363c,58d547920e9c05b16b49767ceb937890c67ab9d3"
academic/awesome-datascience,58d547920e9c05b16b49767ceb937890c67ab9d3,https://github.com/academic/awesome-datascience/commit/58d547920e9c05b16b49767ceb937890c67ab9d3,Paras-96,169983983.0,User,2025-01-13T06:11:08+00:00,web-flow,2025-01-13T06:11:08+00:00,"Added two useful resource 

Added the The Future of Data Science: Predictions and Trends and Data Science and Machine Learning: What’s The Difference? URL to the section - Other Awesome lIsts, providing useful insights to aspiring tech professionals.

Please let me know if further changes are required.

Thank you!",2,0,2,1,80daaa48db565c3ad0b0205971bc35583772363c
