repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
apache/airflow,30f5c681bd0aa28b4e32330195f0c47be07e51b0,https://github.com/apache/airflow/commit/30f5c681bd0aa28b4e32330195f0c47be07e51b0,sjyangkevin,85313829,User,2025-05-12T14:39:47+00:00,web-flow,2025-05-12T14:39:47+00:00,change CohereHook.get_conn type to method (#50470),15,12,27,2,21c1e1c3e6623983d11f04400a47c12f001a67d7
apache/airflow,21c1e1c3e6623983d11f04400a47c12f001a67d7,https://github.com/apache/airflow/commit/21c1e1c3e6623983d11f04400a47c12f001a67d7,Dukastlik,49510873,User,2025-05-12T13:59:29+00:00,web-flow,2025-05-12T13:59:29+00:00,"Add Key to default meta keys in S3KeySensor (#50122)

Co-authored-by: Dmitry Dandykin <dmitry.dandykin@axenix.pro>",16,24,40,2,51a5a57a03f1ad1f629c1696e46a086b14ea1682
apache/airflow,51a5a57a03f1ad1f629c1696e46a086b14ea1682,https://github.com/apache/airflow/commit/51a5a57a03f1ad1f629c1696e46a086b14ea1682,potiuk,595491,User,2025-05-12T13:41:41+00:00,web-flow,2025-05-12T13:41:41+00:00,"Actually, that should be linked to contributing guide (#50488)",2,2,4,2,f7e350d28c569632d421cff869ead86fa2df014f
apache/airflow,f7e350d28c569632d421cff869ead86fa2df014f,https://github.com/apache/airflow/commit/f7e350d28c569632d421cff869ead86fa2df014f,kacpermuda,98873404,User,2025-05-12T13:28:11+00:00,web-flow,2025-05-12T13:28:11+00:00,feat: Add OpenLineage support for DatabricksSqlHook (#50392),1154,11,1165,10,1c2237ca1a6a60146dd75da5d38f336462604531
apache/airflow,1c2237ca1a6a60146dd75da5d38f336462604531,https://github.com/apache/airflow/commit/1c2237ca1a6a60146dd75da5d38f336462604531,dependabot[bot],49699333,Bot,2025-05-12T13:08:01+00:00,web-flow,2025-05-12T13:08:01+00:00,"Bump the core-ui-package-updates group across 1 directory with 14 updates (#50364)

Bumps the core-ui-package-updates group with 14 updates in the /airflow-core/src/airflow/api_fastapi/auth/managers/simple/ui directory:

| Package | From | To |
| --- | --- | --- |
| [@chakra-ui/react](https://github.com/chakra-ui/chakra-ui/tree/HEAD/packages/react) | `3.16.1` | `3.17.0` |
| [@tanstack/react-query](https://github.com/TanStack/query/tree/HEAD/packages/react-query) | `5.74.11` | `5.75.5` |
| [react-hook-form](https://github.com/react-hook-form/react-hook-form) | `7.56.1` | `7.56.3` |
| [react-router-dom](https://github.com/remix-run/react-router/tree/HEAD/packages/react-router-dom) | `7.5.3` | `7.6.0` |
| [@eslint/compat](https://github.com/eslint/rewrite) | `1.2.8` | `1.2.9` |
| [@eslint/js](https://github.com/eslint/eslint/tree/HEAD/packages/js) | `9.25.1` | `9.26.0` |
| [@types/react](https://github.com/DefinitelyTyped/DefinitelyTyped/tree/HEAD/types/react) | `19.1.2` | `19.1.3` |
| [eslint](https://github.com/eslint/eslint) | `9.25.1` | `9.26.0` |
| [eslint-config-prettier](https://github.com/prettier/eslint-config-prettier) | `10.1.2` | `10.1.3` |
| [eslint-plugin-prettier](https://github.com/prettier/eslint-plugin-prettier) | `5.2.6` | `5.4.0` |
| [eslint-plugin-unicorn](https://github.com/sindresorhus/eslint-plugin-unicorn) | `59.0.0` | `59.0.1` |
| [typescript-eslint](https://github.com/typescript-eslint/typescript-eslint/tree/HEAD/packages/typescript-eslint) | `8.31.1` | `8.32.0` |
| [vite](https://github.com/vitejs/vite/tree/HEAD/packages/vite) | `6.3.4` | `6.3.5` |
| [vitest](https://github.com/vitest-dev/vitest/tree/HEAD/packages/vitest) | `3.1.2` | `3.1.3` |



Updates `@chakra-ui/react` from 3.16.1 to 3.17.0
- [Release notes](https://github.com/chakra-ui/chakra-ui/releases)
- [Changelog](https://github.com/chakra-ui/chakra-ui/blob/main/packages/react/CHANGELOG.md)
- [Commits](https://github.com/chakra-ui/chakra-ui/commits/@chakra-ui/react@3.17.0/packages/react)

Updates `@tanstack/react-query` from 5.74.11 to 5.75.5
- [Release notes](https://github.com/TanStack/query/releases)
- [Commits](https://github.com/TanStack/query/commits/v5.75.5/packages/react-query)

Updates `react-hook-form` from 7.56.1 to 7.56.3
- [Release notes](https://github.com/react-hook-form/react-hook-form/releases)
- [Changelog](https://github.com/react-hook-form/react-hook-form/blob/master/CHANGELOG.md)
- [Commits](https://github.com/react-hook-form/react-hook-form/compare/v7.56.1...v7.56.3)

Updates `react-router-dom` from 7.5.3 to 7.6.0
- [Release notes](https://github.com/remix-run/react-router/releases)
- [Changelog](https://github.com/remix-run/react-router/blob/main/packages/react-router-dom/CHANGELOG.md)
- [Commits](https://github.com/remix-run/react-router/commits/react-router-dom@7.6.0/packages/react-router-dom)

Updates `@eslint/compat` from 1.2.8 to 1.2.9
- [Release notes](https://github.com/eslint/rewrite/releases)
- [Changelog](https://github.com/eslint/rewrite/blob/main/release-please-config.json)
- [Commits](https://github.com/eslint/rewrite/compare/compat-v1.2.8...compat-v1.2.9)

Updates `@eslint/js` from 9.25.1 to 9.26.0
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/commits/v9.26.0/packages/js)

Updates `@types/react` from 19.1.2 to 19.1.3
- [Release notes](https://github.com/DefinitelyTyped/DefinitelyTyped/releases)
- [Commits](https://github.com/DefinitelyTyped/DefinitelyTyped/commits/HEAD/types/react)

Updates `eslint` from 9.25.1 to 9.26.0
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v9.25.1...v9.26.0)

Updates `eslint-config-prettier` from 10.1.2 to 10.1.3
- [Release notes](https://github.com/prettier/eslint-config-prettier/releases)
- [Changelog](https://github.com/prettier/eslint-config-prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/eslint-config-prettier/compare/v10.1.2...v10.1.3)

Updates `eslint-plugin-prettier` from 5.2.6 to 5.4.0
- [Release notes](https://github.com/prettier/eslint-plugin-prettier/releases)
- [Changelog](https://github.com/prettier/eslint-plugin-prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/eslint-plugin-prettier/compare/v5.2.6...v5.4.0)

Updates `eslint-plugin-unicorn` from 59.0.0 to 59.0.1
- [Release notes](https://github.com/sindresorhus/eslint-plugin-unicorn/releases)
- [Commits](https://github.com/sindresorhus/eslint-plugin-unicorn/compare/v59.0.0...v59.0.1)

Updates `typescript-eslint` from 8.31.1 to 8.32.0
- [Release notes](https://github.com/typescript-eslint/typescript-eslint/releases)
- [Changelog](https://github.com/typescript-eslint/typescript-eslint/blob/main/packages/typescript-eslint/CHANGELOG.md)
- [Commits](https://github.com/typescript-eslint/typescript-eslint/commits/v8.32.0/packages/typescript-eslint)

Updates `vite` from 6.3.4 to 6.3.5
- [Release notes](https://github.com/vitejs/vite/releases)
- [Changelog](https://github.com/vitejs/vite/blob/main/packages/vite/CHANGELOG.md)
- [Commits](https://github.com/vitejs/vite/commits/v6.3.5/packages/vite)

Updates `vitest` from 3.1.2 to 3.1.3
- [Release notes](https://github.com/vitest-dev/vitest/releases)
- [Commits](https://github.com/vitest-dev/vitest/commits/v3.1.3/packages/vitest)

---
updated-dependencies:
- dependency-name: ""@chakra-ui/react""
  dependency-version: 3.17.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: core-ui-package-updates
- dependency-name: ""@tanstack/react-query""
  dependency-version: 5.75.5
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: core-ui-package-updates
- dependency-name: react-hook-form
  dependency-version: 7.56.3
  dependency-type: direct:production
  update-type: version-update:semver-patch
  dependency-group: core-ui-package-updates
- dependency-name: react-router-dom
  dependency-version: 7.6.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: core-ui-package-updates
- dependency-name: ""@eslint/compat""
  dependency-version: 1.2.9
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: core-ui-package-updates
- dependency-name: ""@eslint/js""
  dependency-version: 9.26.0
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: core-ui-package-updates
- dependency-name: ""@types/react""
  dependency-version: 19.1.3
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: core-ui-package-updates
- dependency-name: eslint
  dependency-version: 9.26.0
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: core-ui-package-updates
- dependency-name: eslint-config-prettier
  dependency-version: 10.1.3
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: core-ui-package-updates
- dependency-name: eslint-plugin-prettier
  dependency-version: 5.4.0
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: core-ui-package-updates
- dependency-name: eslint-plugin-unicorn
  dependency-version: 59.0.1
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: core-ui-package-updates
- dependency-name: typescript-eslint
  dependency-version: 8.32.0
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: core-ui-package-updates
- dependency-name: vite
  dependency-version: 6.3.5
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: core-ui-package-updates
- dependency-name: vitest
  dependency-version: 3.1.3
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: core-ui-package-updates
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",3038,1743,4781,3,c0a2d69fa1ac30b8dfa551afb6d45cf92093a591
apache/airflow,c0a2d69fa1ac30b8dfa551afb6d45cf92093a591,https://github.com/apache/airflow/commit/c0a2d69fa1ac30b8dfa551afb6d45cf92093a591,dependabot[bot],49699333,Bot,2025-05-12T13:06:01+00:00,web-flow,2025-05-12T13:06:01+00:00,"Bump the fab-ui-package-updates group across 1 directory with 4 updates (#50312)

Bumps the fab-ui-package-updates group with 4 updates in the /providers/fab/src/airflow/providers/fab/www directory: [@babel/preset-env](https://github.com/babel/babel/tree/HEAD/packages/babel-preset-env), [eslint](https://github.com/eslint/eslint), [eslint-config-prettier](https://github.com/prettier/eslint-config-prettier) and [webpack](https://github.com/webpack/webpack).


Updates `@babel/preset-env` from 7.27.1 to 7.27.2
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.27.2/packages/babel-preset-env)

Updates `eslint` from 9.25.1 to 9.26.0
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v9.25.1...v9.26.0)

Updates `eslint-config-prettier` from 10.1.2 to 10.1.3
- [Release notes](https://github.com/prettier/eslint-config-prettier/releases)
- [Changelog](https://github.com/prettier/eslint-config-prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/eslint-config-prettier/compare/v10.1.2...v10.1.3)

Updates `webpack` from 5.99.7 to 5.99.8
- [Release notes](https://github.com/webpack/webpack/releases)
- [Commits](https://github.com/webpack/webpack/compare/v5.99.7...v5.99.8)

---
updated-dependencies:
- dependency-name: ""@babel/preset-env""
  dependency-version: 7.27.2
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: fab-ui-package-updates
- dependency-name: eslint
  dependency-version: 9.26.0
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: fab-ui-package-updates
- dependency-name: eslint-config-prettier
  dependency-version: 10.1.3
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: fab-ui-package-updates
- dependency-name: webpack
  dependency-version: 5.99.8
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: fab-ui-package-updates
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",729,39,768,2,264242f16517963f0cb861d63f8282bfd68c0f5f
apache/airflow,264242f16517963f0cb861d63f8282bfd68c0f5f,https://github.com/apache/airflow/commit/264242f16517963f0cb861d63f8282bfd68c0f5f,AutomationDev85,96178949,User,2025-05-12T13:05:14+00:00,web-flow,2025-05-12T13:05:14+00:00,"Add fast fail for ErrImagePull and InvalidImageName for KubernetesPodOperator (#49867)

Co-authored-by: AutomationDev85 <AutomationDev85>",35,0,35,2,18b7b16dae84189234cf12a9d51d2c247492beaf
apache/airflow,18b7b16dae84189234cf12a9d51d2c247492beaf,https://github.com/apache/airflow/commit/18b7b16dae84189234cf12a9d51d2c247492beaf,potiuk,595491,User,2025-05-12T12:51:03+00:00,web-flow,2025-05-12T12:51:03+00:00,"Fix link to container images in README (#50484)

In PyPI's readme relative links do not work and we anyhow shoudl
link to airflow's official docs from here.",2,2,4,2,11376a7159fb420b3c50fce7693bae34f1c79e60
apache/airflow,11376a7159fb420b3c50fce7693bae34f1c79e60,https://github.com/apache/airflow/commit/11376a7159fb420b3c50fce7693bae34f1c79e60,jason810496,68415893,User,2025-05-12T12:22:29+00:00,web-flow,2025-05-12T12:22:29+00:00,"AIP-82: Add KafkaMessageQueueProvider (#49938)

* AIP-82: Add KafkaMessageQueueProvider

- Add Apache kafka to index.rst

- Fix mypy static check

* Add TestKafkaMessageQueueProvider unittest

* Fix kafka_message_queue_trigger system test

* Refine docstring of KafkaMessageQueueProvider

* Fix common-messaging docs

* Move Kafka message queue to Apache Kafka provider

* Fix common messaging dev dependency-group

* Fix kafka queue test

* Fix compact test

* Refine doc for KafkaMessageQueueProvider

* Move system test to provider-specific directory",391,4,395,13,9d4bca1449dc1bedd3d73b724d6a908f477a4ff3
apache/airflow,9d4bca1449dc1bedd3d73b724d6a908f477a4ff3,https://github.com/apache/airflow/commit/9d4bca1449dc1bedd3d73b724d6a908f477a4ff3,james5418,64295913,User,2025-05-12T12:18:28+00:00,web-flow,2025-05-12T12:18:28+00:00,"Add in-memory buffer and gzip support in SqlToS3Operator (#50287)

* replace NamedTemporaryFile with in-memory buffer for S3 uploads and add gzip support

* add UTF-8 encoding to TextIOWrapper

* update mock method from get_pandas_df to get_df in SqlToS3Operator tests",133,93,226,2,9723e5f7759d785673eae0a4e979133d151ec129
