repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
dagster-io/dagster,32720dd3790fcde3083c8b84ce6a1fc5368587ed,https://github.com/dagster-io/dagster/commit/32720dd3790fcde3083c8b84ce6a1fc5368587ed,jmsanders,10291790,User,2025-05-12T15:17:23+00:00,web-flow,2025-05-12T15:17:23+00:00,"Pin click < 8.2 (#29919)

To get to a healthy build. We'll triage out fixing the broken behavior
and relaxing the pin before this week's release.",2,2,4,2,2fd4fedc2eb07143d77b27c85c698659c6ed8d59
dagster-io/dagster,2fd4fedc2eb07143d77b27c85c698659c6ed8d59,https://github.com/dagster-io/dagster/commit/2fd4fedc2eb07143d77b27c85c698659c6ed8d59,neverett,417209,User,2025-05-12T14:05:44+00:00,web-flow,2025-05-12T14:05:44+00:00,"DOC-1142 update docs version dropdown for 1.10.15 release (#29917)

## Summary & Motivation

See
https://linear.app/dagster-labs/issue/DOC-1142/update-version-dropdown

## How I Tested These Changes

## Changelog

> Insert changelog entry or delete this section.

Signed-off-by: nikki everett <nikki@dagsterlabs.com>",1,1,2,1,eafa8fbe540f4e301238980a467d35ef66ac71e5
dagster-io/dagster,eafa8fbe540f4e301238980a467d35ef66ac71e5,https://github.com/dagster-io/dagster/commit/eafa8fbe540f4e301238980a467d35ef66ac71e5,deepyaman,14007150,User,2025-05-12T13:53:37+00:00,web-flow,2025-05-12T13:53:37+00:00,"Fix typo and update copyright year across LICENSEs (#29909)

## Summary & Motivation

Stumbled upon it while creating a new library

## How I Tested These Changes

BK

---------

Co-authored-by: graphite-app[bot] <96075541+graphite-app[bot]@users.noreply.github.com>",65,65,130,65,a74a6604d200d383af09b345b3342addeb0b321c
dagster-io/dagster,a74a6604d200d383af09b345b3342addeb0b321c,https://github.com/dagster-io/dagster/commit/a74a6604d200d383af09b345b3342addeb0b321c,agrueneberg,527708,User,2025-05-12T13:25:06+00:00,web-flow,2025-05-12T13:25:06+00:00,"docs: Add missing type hint (#29911)

The type hint for `context` was missing.",2,2,4,1,be9a732f930f18ae63d724d9ba98f7f51d40f8c6
dagster-io/dagster,be9a732f930f18ae63d724d9ba98f7f51d40f8c6,https://github.com/dagster-io/dagster/commit/be9a732f930f18ae63d724d9ba98f7f51d40f8c6,schrockn,28738937,User,2025-05-09T21:41:06+00:00,web-flow,2025-05-09T21:41:06+00:00,"[dg] Add tests for existing scaffolders (#29860)

## Summary & Motivation

Add tests for all shim scaffolders such as they are. I think we should always produce a valid definition for a scaffold command but will do that in a followup.

## How I Tested These Changes

BK

## Changelog

NOCHANGELOG",127,2,129,6,1d478e7ec20768edfb15f10c84d11475a243c592
dagster-io/dagster,1d478e7ec20768edfb15f10c84d11475a243c592,https://github.com/dagster-io/dagster/commit/1d478e7ec20768edfb15f10c84d11475a243c592,schrockn,28738937,User,2025-05-09T21:38:33+00:00,web-flow,2025-05-09T21:38:33+00:00,"[dg] Add test for asset shim and extract common function (#29859)

## Summary & Motivation

This adds a test for the asset scaffolder and also extracts out the common functionality to a shared utility

## How I Tested These Changes

BK

## Changelog

NOCHANGELOG",83,34,117,3,0af95e59a784aebedb850e1f28d6468a81716681
dagster-io/dagster,0af95e59a784aebedb850e1f28d6468a81716681,https://github.com/dagster-io/dagster/commit/0af95e59a784aebedb850e1f28d6468a81716681,schrockn,28738937,User,2025-05-09T21:36:05+00:00,web-flow,2025-05-09T21:36:05+00:00,"[dg] Resource Scaffolding (#29839)

## Summary & Motivation

Enables the command `dg scaffold dagster.resources path/to/resources.py`

This generates a file:

```python
import dagster as dg
from dagster.components import definitions


@definitions
def resources() -> dg.Definitions:
    return dg.Definitions(resources={})
```

If you do require the `ComponentLoadContext` for this invocation, you can add it:

```python
import dagster as dg
from dagster.components import definitions, ComponentLoadContext


@definitions(has_context_arg=True)
def resources(context: ComponentLoadContext) -> dg.Definitions:
    return dg.Definitions(resources={})
```

No matter where you are in the component hierarchy, these resource keys apply globally to the entire location, something we may have to improve at a later date.

## How I Tested These Changes

Unit tests and manual testing in a standalone project

## Changelog

* Add support for scaffolding resources via `dg scaffold dagster.resources path/to/resources.py`",100,2,102,11,04306e31d85e737d98611b530deb19debf07d3d2
dagster-io/dagster,04306e31d85e737d98611b530deb19debf07d3d2,https://github.com/dagster-io/dagster/commit/04306e31d85e737d98611b530deb19debf07d3d2,schrockn,28738937,User,2025-05-09T21:33:44+00:00,web-flow,2025-05-09T21:33:44+00:00,"[dg] Support @definitions in the defs hierarchy (#29838)

## Summary & Motivation

This adds support for `@definitions` in the `defs` hierarchy. Current we support it at code location entry points, and this mirrors that support in the defs module component. I believe we should default all scaffolding to use this mechanism in order to avoid import-based side effects.

So instead of 

```python
import dagster as dg

defs = dg.Definitions(resources={'some_resource': 'value'})
```

you can write

```python
from dagster.components import definitions

@definitions
def resources():
   return dg.Definitions({'some_resource': 'value'})
```

## How I Tested These Changes

BK. Also manual tests in standalone projects.

## Changelog

* Support the usage of `@definitions` in the `defs` hierarchy.",201,70,271,7,4b6e686554d9153af3fe054226c3d0fd8ed8d73d
dagster-io/dagster,4b6e686554d9153af3fe054226c3d0fd8ed8d73d,https://github.com/dagster-io/dagster/commit/4b6e686554d9153af3fe054226c3d0fd8ed8d73d,clairelin135,29110579,User,2025-05-09T20:17:58+00:00,web-flow,2025-05-09T20:17:58+00:00,"Add new states to asset catalog rate card (#29908)

## Summary & Motivation
Instead of displaying infinite loading spinner when there is no data,
let's show an empty state

Companion internal PR: https://github.com/dagster-io/internal/pull/15575

## How I Tested These Changes
Locally viewed:
<img width=""699"" alt=""image""
src=""https://github.com/user-attachments/assets/ea941615-af2d-4dd4-92d1-1baecf939729""
/>
Loading states:
<img width=""707"" alt=""image""
src=""https://github.com/user-attachments/assets/36cc80f8-179b-4ef6-a25c-0d767e766788""
/>

## Changelog
NOCHANGELOG",90,39,129,2,13b593a5cd15f573f0274112ec91187f127ae6a0
dagster-io/dagster,13b593a5cd15f573f0274112ec91187f127ae6a0,https://github.com/dagster-io/dagster/commit/13b593a5cd15f573f0274112ec91187f127ae6a0,alangenfeld,202219,User,2025-05-09T18:12:10+00:00,web-flow,2025-05-09T18:12:10+00:00,"[dg] in process mode (#29362)

in the case that we are in a `dg` context where we are targeting the
python environment we are already in, avoid a process hop and call the
target cli directly via `CliRunner`


Here is a diagram visualizing things

![image](https://github.com/user-attachments/assets/fbf81ac8-5ae7-47f5-b749-bd227e8a7dc5)


The main remaining issue currently that led to some tests being kept on
`uv_managed` is that the plugin system depends on import entry group
metadata that is only set when the module is properly installed. I think
we could add env var injection for plugins to deal with this issue.

## How I Tested These Changes

update the test util defaults to leverage this new mode",232,162,394,21,5e5e610cc0a92f6c6a3c9a698647b7c0c5cb6c50
