repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
gradio-app/gradio,d5ddd85d4d5088cce154b1cd50a4a2db179ac227,https://github.com/gradio-app/gradio/commit/d5ddd85d4d5088cce154b1cd50a4a2db179ac227,aliabid94,7870876,User,2025-05-05T11:53:26+00:00,web-flow,2025-05-05T11:53:26+00:00,"Ocean theme quickfix (#11129)

* changes

* add changeset

---------

Co-authored-by: Ali Abid <aliabid94@gmail.com>
Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>
Co-authored-by: Abubakar Abid <abubakar@huggingface.co>",6,1,7,2,479fc28f804c674e3705763be199dacb0f5dca79
gradio-app/gradio,479fc28f804c674e3705763be199dacb0f5dca79,https://github.com/gradio-app/gradio/commit/479fc28f804c674e3705763be199dacb0f5dca79,gradio-pr-bot,121576822,User,2025-05-02T01:22:16+00:00,web-flow,2025-05-02T01:22:16+00:00,"chore: update versions (#11107)

Co-authored-by: github-actions[bot] <github-actions[bot]@users.noreply.github.com>",261,78,339,67,bb2c7443c25b12241ab218195251520e953f7e32
gradio-app/gradio,bb2c7443c25b12241ab218195251520e953f7e32,https://github.com/gradio-app/gradio/commit/bb2c7443c25b12241ab218195251520e953f7e32,abidlabs,1778297,User,2025-05-02T01:09:49+00:00,web-flow,2025-05-02T01:09:49+00:00,"Replace invalid characters in MCP tool name (#11119)

* test

* add changeset

* typefix

* openapi note

---------

Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>",41,5,46,4,c32f8de99a6ab3a82da2f8d5f9f3176a04129f77
gradio-app/gradio,c32f8de99a6ab3a82da2f8d5f9f3176a04129f77,https://github.com/gradio-app/gradio/commit/c32f8de99a6ab3a82da2f8d5f9f3176a04129f77,freddyaboulton,41651716,User,2025-05-02T01:07:26+00:00,web-flow,2025-05-02T01:07:26+00:00,"Fix markdown change event (#11113)

* Fix markdown change event

* Fix html change event too

* add changeset

* Fix

* docstring

---------

Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>
Co-authored-by: Abubakar Abid <abubakar@huggingface.co>",8,6,14,4,b2118d4b613f93b34e02c809e7d0faaa7545b875
gradio-app/gradio,b2118d4b613f93b34e02c809e7d0faaa7545b875,https://github.com/gradio-app/gradio/commit/b2118d4b613f93b34e02c809e7d0faaa7545b875,aliabd,9021060,User,2025-05-01T20:51:49+00:00,web-flow,2025-05-01T20:51:49+00:00,"Docs mcp server  (#11120)

* add guide

* add changeset

---------

Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>",96,0,96,5,49e7a0dd18174196b262d32e6c59d93ca40b1c73
gradio-app/gradio,49e7a0dd18174196b262d32e6c59d93ca40b1c73,https://github.com/gradio-app/gradio/commit/49e7a0dd18174196b262d32e6c59d93ca40b1c73,evalstate,1936278,User,2025-05-01T17:08:59+00:00,web-flow,2025-05-01T17:08:59+00:00,"update STDIO instructions to specify sse-only transport (#11115)

* update STDIO instructions to specify sse-only transport

* formatter

* fix

* add changeset

---------

Co-authored-by: Abubakar Abid <abubakar@huggingface.co>
Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>
Co-authored-by: Freddy Boulton <41651716+freddyaboulton@users.noreply.github.com>",18,2,20,2,0e5a75e263dfd0557431e33771dd8cd49196b28e
gradio-app/gradio,0e5a75e263dfd0557431e33771dd8cd49196b28e,https://github.com/gradio-app/gradio/commit/0e5a75e263dfd0557431e33771dd8cd49196b28e,freddyaboulton,41651716,User,2025-05-01T14:32:18+00:00,web-flow,2025-05-01T14:32:18+00:00,"Fix passing datetime.datetime instance to gr.Datetime (#11112)

* Fix datetime

* add changeset

---------

Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>",26,15,41,3,15d6297261bfca97a2df30b9df358c7751386958
gradio-app/gradio,15d6297261bfca97a2df30b9df358c7751386958,https://github.com/gradio-app/gradio/commit/15d6297261bfca97a2df30b9df358c7751386958,freddyaboulton,41651716,User,2025-05-01T14:32:01+00:00,web-flow,2025-05-01T14:32:01+00:00,"Fix gradio cc environment (#11111)

* Add code

* add changeset

---------

Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>",9,9,18,2,098fb29d384ddf2c8a09efd9746bc788d74e2a17
gradio-app/gradio,098fb29d384ddf2c8a09efd9746bc788d74e2a17,https://github.com/gradio-app/gradio/commit/098fb29d384ddf2c8a09efd9746bc788d74e2a17,abidlabs,1778297,User,2025-05-01T02:39:31+00:00,web-flow,2025-05-01T02:39:31+00:00,"Add `openapi.json` route for Gradio apps as well as docs on the ""view API"" page (#11103)

* add route

* add changeset

* add changeset

* add test

* changes

* changes

* changes

* changes

* changes

* changes

* add more images/videos

* Update guides/04_additional-features/07_sharing-your-app.md

Co-authored-by: Ali Abdalla <ali.si3luwa@gmail.com>

* Update guides/04_additional-features/14_view-api-page.md

Co-authored-by: Ali Abdalla <ali.si3luwa@gmail.com>

---------

Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>
Co-authored-by: Ali Abdalla <ali.si3luwa@gmail.com>",169,2,171,5,8cd4e53a839d86ac69ea2d2eabfcb73e9ff4926c
gradio-app/gradio,8cd4e53a839d86ac69ea2d2eabfcb73e9ff4926c,https://github.com/gradio-app/gradio/commit/8cd4e53a839d86ac69ea2d2eabfcb73e9ff4926c,freddyaboulton,41651716,User,2025-04-30T19:23:43+00:00,web-flow,2025-04-30T19:23:43+00:00,"Fix file upload progress (#11102)

* Fix

* ready

* add changeset

* Fix

* add changeset

* Update gradio/routes.py

Co-authored-by: Abubakar Abid <abubakar@huggingface.co>

---------

Co-authored-by: gradio-pr-bot <gradio-pr-bot@users.noreply.github.com>
Co-authored-by: Abubakar Abid <abubakar@huggingface.co>",25,8,33,5,044baff384a9bb826a16e2a2e6c3a570170b3bb1
