repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
jakevdp/PythonDataScienceHandbook,d66231454ef753818dc9213c9b5942e067266966,https://github.com/jakevdp/PythonDataScienceHandbook/commit/d66231454ef753818dc9213c9b5942e067266966,jakevdp,781659.0,User,2023-05-05T23:20:45+00:00,jakevdp,2023-05-05T23:20:45+00:00,Add source material from second edition,91323,12129,103452,215,8a34a4f653bdbdc01415a94dc20d4e9b97438965
jakevdp/PythonDataScienceHandbook,8a34a4f653bdbdc01415a94dc20d4e9b97438965,https://github.com/jakevdp/PythonDataScienceHandbook/commit/8a34a4f653bdbdc01415a94dc20d4e9b97438965,jakevdp,781659.0,User,2018-11-30T23:24:10+00:00,jakevdp,2018-11-30T23:26:16+00:00,Change deprecated pd.datetools.timedelta to datetime.timedelta,3,1,4,1,be23269c7eb119e093a6d5ce91e464f5e686d9ab
jakevdp/PythonDataScienceHandbook,be23269c7eb119e093a6d5ce91e464f5e686d9ab,https://github.com/jakevdp/PythonDataScienceHandbook/commit/be23269c7eb119e093a6d5ce91e464f5e686d9ab,jakevdp,781659.0,User,2018-08-30T17:23:00+00:00,web-flow,2018-08-30T17:23:00+00:00,"Merge pull request #145 from choldgraf/35binder

adding an environment.yml to specify python version",7,0,7,1,"97c8c91c5932f2b2a58bb97c000506f636ee661a,edf394795fd3545568337a247ec675a74a8891b9"
jakevdp/PythonDataScienceHandbook,edf394795fd3545568337a247ec675a74a8891b9,https://github.com/jakevdp/PythonDataScienceHandbook/commit/edf394795fd3545568337a247ec675a74a8891b9,choldgraf,1839645.0,User,2018-08-30T14:05:36+00:00,choldgraf,2018-08-30T14:05:36+00:00,env.yml,7,0,7,1,97c8c91c5932f2b2a58bb97c000506f636ee661a
jakevdp/PythonDataScienceHandbook,97c8c91c5932f2b2a58bb97c000506f636ee661a,https://github.com/jakevdp/PythonDataScienceHandbook/commit/97c8c91c5932f2b2a58bb97c000506f636ee661a,jakevdp,781659.0,User,2018-08-28T21:11:16+00:00,jakevdp,2018-08-28T21:11:16+00:00,Adjust website build to work with colab badges:,20,5,25,2,70ba408aa98edc2a47c4b5be55a46be356d973cc
jakevdp/PythonDataScienceHandbook,70ba408aa98edc2a47c4b5be55a46be356d973cc,https://github.com/jakevdp/PythonDataScienceHandbook/commit/70ba408aa98edc2a47c4b5be55a46be356d973cc,jakevdp,781659.0,User,2018-08-28T21:10:31+00:00,jakevdp,2018-08-28T21:10:31+00:00,Make colab links part of nav,410,712,1122,69,6546a7cc884c8ef64f018c2babb5db42024d9706
jakevdp/PythonDataScienceHandbook,6546a7cc884c8ef64f018c2babb5db42024d9706,https://github.com/jakevdp/PythonDataScienceHandbook/commit/6546a7cc884c8ef64f018c2babb5db42024d9706,jakevdp,781659.0,User,2018-08-28T20:13:35+00:00,jakevdp,2018-08-28T20:13:35+00:00,Typo in README,1,1,2,1,fb28abb9b4f58486ecd87fa5d5dceb067930ce92
jakevdp/PythonDataScienceHandbook,fb28abb9b4f58486ecd87fa5d5dceb067930ce92,https://github.com/jakevdp/PythonDataScienceHandbook/commit/fb28abb9b4f58486ecd87fa5d5dceb067930ce92,jakevdp,781659.0,User,2018-08-28T20:05:27+00:00,jakevdp,2018-08-28T20:05:27+00:00,Move README badge to top,3,2,5,1,3bfea3246141b17f08801d7a745ca678765c4894
jakevdp/PythonDataScienceHandbook,3bfea3246141b17f08801d7a745ca678765c4894,https://github.com/jakevdp/PythonDataScienceHandbook/commit/3bfea3246141b17f08801d7a745ca678765c4894,jakevdp,781659.0,User,2018-08-28T20:03:09+00:00,jakevdp,2018-08-28T20:03:09+00:00,Add Open In Colab badge,138,68,206,70,d772863e7601e0e4605aded03df7ee28e5611163
jakevdp/PythonDataScienceHandbook,d772863e7601e0e4605aded03df7ee28e5611163,https://github.com/jakevdp/PythonDataScienceHandbook/commit/d772863e7601e0e4605aded03df7ee28e5611163,jakevdp,781659.0,User,2018-08-20T18:11:52+00:00,jakevdp,2018-08-20T18:11:52+00:00,Remove colab logo from notebooks,67,67,134,67,4a2a7b332df2941259171473c2848d27733c5698
