repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
keras-team/keras,24d226b4d5ef2d3b508b3fde94d91d1e902c622e,https://github.com/keras-team/keras/commit/24d226b4d5ef2d3b508b3fde94d91d1e902c622e,shashaka,37043543,User,2025-05-12T01:50:05+00:00,web-flow,2025-05-12T01:50:05+00:00,"Implement hamming function in keras.ops (#21273)

* Add hamming windows for first

* Add hamming window for ops

* Add hamming test for ops",90,0,90,12,cbb3682cab33ae3f97e1a3b7da3e6cbeae07b83b
keras-team/keras,cbb3682cab33ae3f97e1a3b7da3e6cbeae07b83b,https://github.com/keras-team/keras/commit/cbb3682cab33ae3f97e1a3b7da3e6cbeae07b83b,cantonios,2538739,User,2025-05-08T20:27:05+00:00,web-flow,2025-05-08T20:27:05+00:00,"Allow variable layout to be set on construction. (#21264)

If a variable has a particular layout (e.g. is sharded across
multiple devices/hosts), then any corresponding auxiliary variables,
like optimizer gradient accumulators, need to have the same layout.
This requires use to set the variable layout prior to initialization
so that it is initialized correctly and efficiently across devices.

Added optional `kwargs` to the base `Variable` class so they can
handle (and ignore) any backend-specific options.  Modified
`JaxVariable` to allow setting the layout parameter on construction.
Modified `add_variable_from_reference` to copy the layout from
the reference variable.",22,5,27,3,583306d25b632fad608d625723d9d7426698daa0
keras-team/keras,583306d25b632fad608d625723d9d7426698daa0,https://github.com/keras-team/keras/commit/583306d25b632fad608d625723d9d7426698daa0,cantonios,2538739,User,2025-05-08T20:26:21+00:00,web-flow,2025-05-08T20:26:21+00:00,"Add support for jax.experimental.layout layouts. (#21263)

In some cases we need to explicitly specify the layout in JAX
(e.g. for sparse-core tables).  The previous distribution lib
was hard-coded to expect `jax.sharding.Sharding`.  Generalized
to support explicit Layouts.

The previous `distribute_variable`/`distribute_tensor` code
also used explicit device placement calls.  JAX should be
able to handle all this automatically.  See [Making process-spanning arrays from external data](https://docs.jax.dev/en/latest/multi_process.html#making-process-spanning-arrays-from-external-data).",103,107,210,2,44c2f831daed1a2f3413c8886e105f9ad8fcc9d4
keras-team/keras,44c2f831daed1a2f3413c8886e105f9ad8fcc9d4,https://github.com/keras-team/keras/commit/44c2f831daed1a2f3413c8886e105f9ad8fcc9d4,cantonios,2538739,User,2025-05-08T20:24:35+00:00,web-flow,2025-05-08T20:24:35+00:00,"Increment optimizer._iterations in apply(...). (#21262)

Previously the iterations count was incremented in `backend_apply_gradients(...)`.
However, this meant that if all variables had `overwrite_with_gradient`, or
any other special handling within a custom optimizer, the iteration count
would never be increased.  The iteration isn't updated via ""applying gradients""
anyways, so it seems to make more sense to increment it directly in `apply`.",14,17,31,2,8d22f21367712474392ee1cefe1a1c0be63f208c
keras-team/keras,8d22f21367712474392ee1cefe1a1c0be63f208c,https://github.com/keras-team/keras/commit/8d22f21367712474392ee1cefe1a1c0be63f208c,Imokutmfon,204155772,User,2025-05-08T20:13:32+00:00,web-flow,2025-05-08T20:13:32+00:00,"Add openvino backend support for numpy.hstack (#21257)

* Add openvino backend support for numpy.hstack

* Handle non-tuple

* Handle non-tuple 2

* Handle non-tuple 3

* Add support for numpy.hstack",13,3,16,2,5f2793ec63ede88dd6ef8b4296c4b837572fd095
keras-team/keras,5f2793ec63ede88dd6ef8b4296c4b837572fd095,https://github.com/keras-team/keras/commit/5f2793ec63ede88dd6ef8b4296c4b837572fd095,cantonios,2538739,User,2025-05-08T17:37:59+00:00,web-flow,2025-05-08T17:37:59+00:00,"Initialize random seed for distributed models. (#21261)

Keep track of a `global_random_seed`, and ensure it is set
when initializing `keras.distribution.initialize(...)`.

In multi-host processes in JAX, all processes require consistent
random number generation.  Otherwise, initializers on different
hosts would produce inconsistent values, resulting in both
compilation and runtime failures.",67,0,67,2,d9f1874e1f595121c0c83c499b9a60989a58e594
keras-team/keras,d9f1874e1f595121c0c83c499b9a60989a58e594,https://github.com/keras-team/keras/commit/d9f1874e1f595121c0c83c499b9a60989a58e594,james77777778,20734616,User,2025-05-08T17:36:19+00:00,web-flow,2025-05-08T17:36:19+00:00,Simplify the logic of `quantize` and float8 build. (#21248),49,91,140,4,f98b91f47190f69209d3fa7ea512a05cc58aea9a
keras-team/keras,f98b91f47190f69209d3fa7ea512a05cc58aea9a,https://github.com/keras-team/keras/commit/f98b91f47190f69209d3fa7ea512a05cc58aea9a,hertschuh,1091026,User,2025-05-07T22:02:11+00:00,web-flow,2025-05-07T22:02:11+00:00,"Bug fixes in `plot_model` with nested models. (#21243)

There were several issues with `keras.utils.plot_model()` / `keras.utils.model_to_dot()` when rendering nested models with `expand_nested=True`:
- Sequential models were not expanded
- Edges going into nested models would always connect to the first box in the subgraph, which is incorrect because:
  - Functional models can have multiple inputs and the edge needs to point to the correct input
  - The destination of the edge can be further nested sub-models like Sequential sub-models
- Edges going out of nested models would always connect from the last box in the subgraph, which is incorrect because:
  - Functional models can have multiple outputs and the edge needs to come from the correct layer
  - The source of the edge can be further nested in sub-models since there is no ""output"" box

This adds to the integration tests. In particular, it augments the way the topology is verified:
- it provides detailed message for dangling edges
- it can inspected nested subgraphs
- it verifies there are no extra edges that the ones expected
- it can verify splits in the graph

Visual tests: https://colab.research.google.com/gist/hertschuh/fb7dfdbf4fb31139e33e750ab10aaad4/plot_model-testing.ipynb

Fixes https://github.com/keras-team/keras/issues/21119",771,470,1241,2,d8f3f70670537b6e08149be853c43510626444e3
keras-team/keras,d8f3f70670537b6e08149be853c43510626444e3,https://github.com/keras-team/keras/commit/d8f3f70670537b6e08149be853c43510626444e3,pctablet505,55033230,User,2025-05-07T20:03:20+00:00,web-flow,2025-05-07T20:03:20+00:00,"Fixed issue with dot_product_attention when using TPU.  (#21254)

* Update nn.py

* Update nn.py

* Update nn.py

* Update nn.py

* Update nn.py

Corrected indentation in doc string

* Update nn.py",186,42,228,1,3318d8f7b1a6a3c696bee65936a565437d8ae92f
keras-team/keras,3318d8f7b1a6a3c696bee65936a565437d8ae92f,https://github.com/keras-team/keras/commit/3318d8f7b1a6a3c696bee65936a565437d8ae92f,hertschuh,1091026,User,2025-05-07T04:51:32+00:00,web-flow,2025-05-07T04:51:32+00:00,"Fix `take_along_axis` with TensorFlow with non-int32 indices. (#21256)

Change https://github.com/keras-team/keras/pull/21239 broke one use case when the axis dimension is dynamic, the type of the indices is not int32, and the op is run in graph mode.

Note that the additional unit tests don't actually cover this.",11,5,16,2,6ddaefb73ceec2f62e6f1bc78acccc5d02b421a5
