repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
marimo-team/marimo,b7fe8af5ca95c47f4b3505f92a33cea7423ab9b6,https://github.com/marimo-team/marimo/commit/b7fe8af5ca95c47f4b3505f92a33cea7423ab9b6,mscolnick,2753772,User,2025-05-12T14:27:09+00:00,web-flow,2025-05-12T14:27:09+00:00,chore: test snapshots (#4879),1,1,2,1,b68457776c6293d7b04304b0cda6be4c5dba438f
marimo-team/marimo,b68457776c6293d7b04304b0cda6be4c5dba438f,https://github.com/marimo-team/marimo/commit/b68457776c6293d7b04304b0cda6be4c5dba438f,krassowski,5832902,User,2025-05-12T14:18:02+00:00,web-flow,2025-05-12T14:18:02+00:00,"fix: `typos` failing on pre-commit CI (#4874)

## 📝 Summary

Fixes pre-commit failures following recommendation to set
`pass_filenames: false` from
https://github.com/crate-ci/typos/issues/926

## 🔍 Description of Changes

- [x] add the `pass_filenames: false` workaround
- [ ] fix typos in codebase which were smuggled through while the
`typos` check was malfunctioning; :confused: while it passes on CI, it
fails locally for me on:
   ```

typos....................................................................Failed
    - hook id: typos
    - exit code: 2
    
    error: `fo` should be `of`, `for`, `do`, `go`, `to`
      --> ./codemirror-languageserver-marimo/src/utils.test.ts:117:35
        |
117 | expect(createMockContext(""fo"").matchBefore(pattern)).toEqual({
        |                                   ^^
        |
    error: `fo` should be `of`, `for`, `do`, `go`, `to`
      --> ./codemirror-languageserver-marimo/src/utils.test.ts:120:20
        |
    120 |             text: ""fo"",
        |                    ^^
        |
    ```

## 📋 Checklist

- [x] I have read the [contributor
guidelines](https://github.com/marimo-team/marimo/blob/main/CONTRIBUTING.md).
- [x] I have run the code and verified that it works as expected.

## 📜 Reviewers

@mscolnick",1,0,1,1,808446ff460b8469644fdb177d62f445bef3ae2d
marimo-team/marimo,808446ff460b8469644fdb177d62f445bef3ae2d,https://github.com/marimo-team/marimo/commit/808446ff460b8469644fdb177d62f445bef3ae2d,mscolnick,2753772,User,2025-05-12T13:58:42+00:00,web-flow,2025-05-12T13:58:42+00:00,fix: add rtc feature-flag in Labs UI (#4867),24,0,24,1,1592b6ee60149cad786a8f537681c919af42958f
marimo-team/marimo,1592b6ee60149cad786a8f537681c919af42958f,https://github.com/marimo-team/marimo/commit/1592b6ee60149cad786a8f537681c919af42958f,mscolnick,2753772,User,2025-05-12T13:58:31+00:00,web-flow,2025-05-12T13:58:31+00:00,"fix: don't fail if url does not have port (#4872)

Maybe a fix for #4871. It won't fail on printing the URL",6,2,8,1,eef23534ad4bcd40302f7af00e650f3609d8c4ae
marimo-team/marimo,eef23534ad4bcd40302f7af00e650f3609d8c4ae,https://github.com/marimo-team/marimo/commit/eef23534ad4bcd40302f7af00e650f3609d8c4ae,mscolnick,2753772,User,2025-05-12T13:58:08+00:00,web-flow,2025-05-12T13:58:08+00:00,"fix: drop internal row id in `table.value` (#4873)

Fixes #4868",27,1,28,2,2eb2d6fd8d17f48e99c4bbd8ae338035c3ef2262
marimo-team/marimo,2eb2d6fd8d17f48e99c4bbd8ae338035c3ef2262,https://github.com/marimo-team/marimo/commit/2eb2d6fd8d17f48e99c4bbd8ae338035c3ef2262,krassowski,5832902,User,2025-05-12T13:57:29+00:00,web-flow,2025-05-12T13:57:29+00:00,"Format signatures in LSP hover and completion documentation (#4864)

## 📝 Summary

- formats signatures using ruff so that they are easier to read
- depends on https://github.com/python-lsp/python-lsp-server/pull/631

## 🔍 Description of Changes

Adds `pylsp_signatures_to_markdown` hook, re-using existing `ruff`
formatting utility.

| Before | After |
|--|--|
|
![image](https://github.com/user-attachments/assets/2ffb4e27-6a26-4f69-ae7a-ed51faa5afc2)
| ![Screenshot from 2025-05-09
22-01-22](https://github.com/user-attachments/assets/56bde23c-193d-4800-a2c6-81b80ab72025)
|

Note: this does not help with `pd.read_csv`; I am not sure why it is not
hitting this code path, but notably it happens on the completion items
which do not have a docstring either.

## 📋 Checklist

- [x] I have read the [contributor
guidelines](https://github.com/marimo-team/marimo/blob/main/CONTRIBUTING.md).
- [ ] For large changes, or changes that affect the public API: this
change was discussed or approved through an issue, on
[Discord](https://marimo.io/discord?ref=pr), or the community
[discussions](https://github.com/marimo-team/marimo/discussions) (Please
provide a link if applicable).
- [ ] I have added tests for the changes made.
- [x] I have run the code and verified that it works as expected.

## 📜 Reviewers

@mscolnick",35,0,35,2,aa3a7f6403c0d0203b96afb27b044c8d6646e981
marimo-team/marimo,aa3a7f6403c0d0203b96afb27b044c8d6646e981,https://github.com/marimo-team/marimo/commit/aa3a7f6403c0d0203b96afb27b044c8d6646e981,Light2Dark,19585239,User,2025-05-12T03:22:24+00:00,web-flow,2025-05-12T03:22:24+00:00,"feat: updates to row viewer panel (#4866)

## 📝 Summary

<!--
Provide a concise summary of what this pull request is addressing.

If this PR fixes any issues, list them here by number (e.g., Fixes
#123).
-->

![image](https://github.com/user-attachments/assets/c31e3273-af1a-42e7-b4ae-f6124f1cad5c)
- Change to Row viewer panel
- Adds cell-aware config
- Keyboard shortcuts when element is active

open to name/tooltip suggestions. Context-aware(?), reactive, adaptive

## 🔍 Description of Changes

<!--
Detail the specific changes made in this pull request. Explain the
problem addressed and how it was resolved. If applicable, provide before
and after comparisons, screenshots, or any relevant details to help
reviewers understand the changes easily.
-->

## 📋 Checklist

- [X] I have read the [contributor
guidelines](https://github.com/marimo-team/marimo/blob/main/CONTRIBUTING.md).
- [ ] For large changes, or changes that affect the public API: this
change was discussed or approved through an issue, on
[Discord](https://marimo.io/discord?ref=pr), or the community
[discussions](https://github.com/marimo-team/marimo/discussions) (Please
provide a link if applicable).
- [ ] I have added tests for the changes made.
- [X] I have run the code and verified that it works as expected.

## 📜 Reviewers

<!--
Tag potential reviewers from the community or maintainers who might be
interested in reviewing this pull request.

Your PR will be reviewed more quickly if you can figure out the right
person to tag with @ -->

@mscolnick",222,80,302,11,50d99144bfc9f5d741372e2cf7b6ec59406bb986
marimo-team/marimo,50d99144bfc9f5d741372e2cf7b6ec59406bb986,https://github.com/marimo-team/marimo/commit/50d99144bfc9f5d741372e2cf7b6ec59406bb986,mscolnick,2753772,User,2025-05-12T00:52:47+00:00,mscolnick,2025-05-12T00:52:47+00:00,style: add back ul,4,4,8,1,35f44056f0b5770044011c75e46ec0edde402559
marimo-team/marimo,35f44056f0b5770044011c75e46ec0edde402559,https://github.com/marimo-team/marimo/commit/35f44056f0b5770044011c75e46ec0edde402559,mscolnick,2753772,User,2025-05-11T20:26:01+00:00,web-flow,2025-05-11T20:26:01+00:00,fix: [rtc] edge cases for auto-run and focus (#4861),507,205,712,26,5c6766ebd32be6bfde0005e257cb619d738495db
marimo-team/marimo,5c6766ebd32be6bfde0005e257cb619d738495db,https://github.com/marimo-team/marimo/commit/5c6766ebd32be6bfde0005e257cb619d738495db,guyrosin,1250162,User,2025-05-11T20:25:42+00:00,web-flow,2025-05-11T20:25:42+00:00,Support system message for Gemini (#4869),1,1,2,1,265c6215b415a6984b9520e3b5cb000ad07fbb9a
