repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
matplotlib/matplotlib,8cd97bfac8e12950a9f47593879cf7fba5ad947b,https://github.com/matplotlib/matplotlib/commit/8cd97bfac8e12950a9f47593879cf7fba5ad947b,timhoffm,2836374.0,User,2025-05-12T09:55:11+00:00,web-flow,2025-05-12T09:55:11+00:00,"Merge pull request #30040 from anntzer/td

Improve usetex and pgf troubleshooting docs.",17,23,40,3,"de00c493a7892023aac8dbc571dd2d8791c3a6fa,dd4d635cea676b9d888cdaf79460bce8ec7b2be6"
matplotlib/matplotlib,dd4d635cea676b9d888cdaf79460bce8ec7b2be6,https://github.com/matplotlib/matplotlib/commit/dd4d635cea676b9d888cdaf79460bce8ec7b2be6,anntzer,1322974.0,User,2025-05-11T21:42:02+00:00,anntzer,2025-05-12T06:13:01+00:00,"Improve usetex and pgf troubleshooting docs.

- Merge ""Troubleshooting"" and ""Possible hangups"".
- Don't list $PATH issues twice.
- Remove mention of dvipng for pgf (which doesn't use dvipng).
- Be more generic re: missing latex packages (this applies to all
  texlive installs, and the required list is given elsewhere).",17,23,40,3,de00c493a7892023aac8dbc571dd2d8791c3a6fa
matplotlib/matplotlib,de00c493a7892023aac8dbc571dd2d8791c3a6fa,https://github.com/matplotlib/matplotlib/commit/de00c493a7892023aac8dbc571dd2d8791c3a6fa,timhoffm,2836374.0,User,2025-05-11T09:35:29+00:00,web-flow,2025-05-11T09:35:29+00:00,Merge pull request #30037 from JosephBARBIERDARNAL/matplotlibrc,1,1,2,1,"03fa1ffb1b26733f109ae10ac67c8432f48ec320,206c51a65d48dcbc78fc51707234734a3a9c876f"
matplotlib/matplotlib,206c51a65d48dcbc78fc51707234734a3a9c876f,https://github.com/matplotlib/matplotlib/commit/206c51a65d48dcbc78fc51707234734a3a9c876f,JosephBARBIERDARNAL,79746670.0,User,2025-05-11T06:58:43+00:00,JosephBARBIERDARNAL,2025-05-11T06:58:43+00:00,update top message matplotlibrc file,1,1,2,1,03fa1ffb1b26733f109ae10ac67c8432f48ec320
matplotlib/matplotlib,03fa1ffb1b26733f109ae10ac67c8432f48ec320,https://github.com/matplotlib/matplotlib/commit/03fa1ffb1b26733f109ae10ac67c8432f48ec320,QuLogic,302469.0,User,2025-05-10T09:03:10+00:00,web-flow,2025-05-10T09:03:10+00:00,"Remove meson-python pinning (#30035)

Version 0.18 should restore handling of symlinks:
https://github.com/mesonbuild/meson-python/pull/728",4,2,6,1,75d91999e935730295fbc6387f5dd26b927aebdd
matplotlib/matplotlib,75d91999e935730295fbc6387f5dd26b927aebdd,https://github.com/matplotlib/matplotlib/commit/75d91999e935730295fbc6387f5dd26b927aebdd,timhoffm,2836374.0,User,2025-05-09T21:14:44+00:00,web-flow,2025-05-09T21:14:44+00:00,"Merge pull request #30006 from dstansby/lint-pyi

Enable linting of .pyi files",10,13,23,9,"f7051b5b9e0062df90073c38865b285175acb3d5,da6b32e02b66832556d2e668fed1392d94f965ba"
matplotlib/matplotlib,f7051b5b9e0062df90073c38865b285175acb3d5,https://github.com/matplotlib/matplotlib/commit/f7051b5b9e0062df90073c38865b285175acb3d5,timhoffm,2836374.0,User,2025-05-09T20:46:21+00:00,web-flow,2025-05-09T20:46:21+00:00,"Merge pull request #30029 from Bindi003/fix-subplots-adjust-diagram

Update diagram in subplots_adjust documentation to clarify parameters",22,16,38,1,"6dcfa9d94bff3d672b59a57e98b1d94ed624b02a,785140be92e09f900751e5e4ffc8546acd768d82"
matplotlib/matplotlib,da6b32e02b66832556d2e668fed1392d94f965ba,https://github.com/matplotlib/matplotlib/commit/da6b32e02b66832556d2e668fed1392d94f965ba,dstansby,6197628.0,User,2025-05-09T19:49:12+00:00,dstansby,2025-05-09T19:49:16+00:00,Enable linting of .pyi files,10,13,23,9,6dcfa9d94bff3d672b59a57e98b1d94ed624b02a
matplotlib/matplotlib,785140be92e09f900751e5e4ffc8546acd768d82,https://github.com/matplotlib/matplotlib/commit/785140be92e09f900751e5e4ffc8546acd768d82,,,,2025-05-09T15:50:04+00:00,,2025-05-09T15:50:04+00:00,Addressed diagram feedback and simplified annotation calls,14,11,25,1,dd7f51b00956680ac768fea5fa51261c803f1548
matplotlib/matplotlib,dd7f51b00956680ac768fea5fa51261c803f1548,https://github.com/matplotlib/matplotlib/commit/dd7f51b00956680ac768fea5fa51261c803f1548,,,,2025-05-09T13:53:49+00:00,,2025-05-09T13:53:49+00:00,Corrected subplots_adjust diagram,5,4,9,1,ac5225483f9b016739607ad541ea8abcb8cb9c2c
matplotlib/matplotlib,ac5225483f9b016739607ad541ea8abcb8cb9c2c,https://github.com/matplotlib/matplotlib/commit/ac5225483f9b016739607ad541ea8abcb8cb9c2c,,,,2025-05-09T00:06:30+00:00,,2025-05-09T00:06:30+00:00,Update diagram in subplots_adjust documentation to clarify parameter meaning,14,12,26,1,b4cb934bce90e7fc8fadc8dbeca70febd8f340d9
matplotlib/matplotlib,6dcfa9d94bff3d672b59a57e98b1d94ed624b02a,https://github.com/matplotlib/matplotlib/commit/6dcfa9d94bff3d672b59a57e98b1d94ed624b02a,QuLogic,302469.0,User,2025-05-08T19:29:28+00:00,web-flow,2025-05-08T19:29:28+00:00,"Merge pull request #30020 from anntzer/trnc

Micro-optimize _to_rgba_no_colorcycle.",20,29,49,1,"99a521b35b6d1f6fbf21e4329a85a221c0c221bc,c004e49f66531b1d6674cdd3d851cb984006002c"
matplotlib/matplotlib,99a521b35b6d1f6fbf21e4329a85a221c0c221bc,https://github.com/matplotlib/matplotlib/commit/99a521b35b6d1f6fbf21e4329a85a221c0c221bc,jklymak,1562854.0,User,2025-05-08T15:35:22+00:00,web-flow,2025-05-08T15:35:22+00:00,"Merge pull request #30027 from anntzer/pfp

Make PdfFile font-related attributes private.",23,15,38,2,"3da6ea957ef22b763215f1d0065ed554ddcd3bfe,a93e68121ded69104fe19410c49ee7d7fe7f76f3"
matplotlib/matplotlib,3da6ea957ef22b763215f1d0065ed554ddcd3bfe,https://github.com/matplotlib/matplotlib/commit/3da6ea957ef22b763215f1d0065ed554ddcd3bfe,story645,1300499.0,User,2025-05-08T15:28:01+00:00,web-flow,2025-05-08T15:28:01+00:00,"Merge pull request #29829 from anntzer/dvi2ft

Rework mapping of dvi glyph indices to freetype indices.",45,23,68,3,"b4cb934bce90e7fc8fadc8dbeca70febd8f340d9,a3c14cf407684a4a286df24bacda45d9af2e9af1"
matplotlib/matplotlib,a93e68121ded69104fe19410c49ee7d7fe7f76f3,https://github.com/matplotlib/matplotlib/commit/a93e68121ded69104fe19410c49ee7d7fe7f76f3,anntzer,1322974.0,User,2025-05-08T11:38:08+00:00,anntzer,2025-05-08T14:26:27+00:00,"Make PdfFile font-related attributes private.

They are clearly intended for internal use, and we may want to change
their internal representation in the future to support xetex/luatex
(which expose more font types).",23,15,38,2,2f6589d59c359f532d1c93d2bb4315ddb41510c2
matplotlib/matplotlib,c004e49f66531b1d6674cdd3d851cb984006002c,https://github.com/matplotlib/matplotlib/commit/c004e49f66531b1d6674cdd3d851cb984006002c,anntzer,1322974.0,User,2025-02-13T09:21:37+00:00,anntzer,2025-05-07T17:01:14+00:00,"Micro-optimize _to_rgba_no_colorcycle.

This patch speeds up conversions of `#rgba`-type formats by between 25%
and 40% (while shortening the implementation), although real benefits
should be limited because of caching in to_rgba.",20,29,49,1,2f6589d59c359f532d1c93d2bb4315ddb41510c2
matplotlib/matplotlib,b4cb934bce90e7fc8fadc8dbeca70febd8f340d9,https://github.com/matplotlib/matplotlib/commit/b4cb934bce90e7fc8fadc8dbeca70febd8f340d9,timhoffm,2836374.0,User,2025-05-07T09:45:41+00:00,web-flow,2025-05-07T09:45:41+00:00,"Merge pull request #30023 from QuLogic/fix-lint

Remove unused `_api` import",0,1,1,1,"35976c992d673233a94a321f1565b3baccca4af6,b4d532f52d83d84cb3232765f921e346b4f81844"
matplotlib/matplotlib,b4d532f52d83d84cb3232765f921e346b4f81844,https://github.com/matplotlib/matplotlib/commit/b4d532f52d83d84cb3232765f921e346b4f81844,QuLogic,302469.0,User,2025-05-07T06:47:46+00:00,QuLogic,2025-05-07T06:47:46+00:00,"Remove unused `_api` import

The combination of #30014 and #30015 made this import redundant, but as
each PR was indepenently tested and reviewed, nothing was evident until
both were merged.",0,1,1,1,35976c992d673233a94a321f1565b3baccca4af6
matplotlib/matplotlib,35976c992d673233a94a321f1565b3baccca4af6,https://github.com/matplotlib/matplotlib/commit/35976c992d673233a94a321f1565b3baccca4af6,QuLogic,302469.0,User,2025-05-06T21:12:34+00:00,web-flow,2025-05-06T21:12:34+00:00,"Merge pull request #30014 from dstansby/rm-tick-iterator

Remove deprecated get_tick_iterator()",4,11,15,2,"2366f5728218e0e18566e42e05042e95cad882d3,96ac88fbdc302efe9bf2d1e8fef0289ecc872407"
