repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
microsoft/Data-Science-For-Beginners,6f7e2ff1d6ba0eff3f16396c7b42094ba62de335,https://github.com/microsoft/Data-Science-For-Beginners/commit/6f7e2ff1d6ba0eff3f16396c7b42094ba62de335,WirelessLife,17089114,User,2025-02-13T17:12:03+00:00,web-flow,2025-02-13T17:12:03+00:00,"Update README.md

Updating Other Curricula",1,2,3,1,a7aca115ab0c71d538c48709c511fc1b87bb65c6
microsoft/Data-Science-For-Beginners,a7aca115ab0c71d538c48709c511fc1b87bb65c6,https://github.com/microsoft/Data-Science-For-Beginners/commit/a7aca115ab0c71d538c48709c511fc1b87bb65c6,WirelessLife,17089114,User,2025-02-13T16:47:56+00:00,web-flow,2025-02-13T16:47:56+00:00,"Update README.md

Updating the ""Other Curricula"" with new courses.",9,4,13,1,22d47fb7e80269d0ad37d08c9f632d209b4d279c
microsoft/Data-Science-For-Beginners,22d47fb7e80269d0ad37d08c9f632d209b4d279c,https://github.com/microsoft/Data-Science-For-Beginners/commit/22d47fb7e80269d0ad37d08c9f632d209b4d279c,leestott,2511341,User,2024-10-15T11:01:26+00:00,web-flow,2024-10-15T11:01:26+00:00,Update README.md,1,1,2,1,1f7dab32d4b893a4e16dc7f9a60e44c2814e0ffa
microsoft/Data-Science-For-Beginners,1f7dab32d4b893a4e16dc7f9a60e44c2814e0ffa,https://github.com/microsoft/Data-Science-For-Beginners/commit/1f7dab32d4b893a4e16dc7f9a60e44c2814e0ffa,leestott,2511341,User,2024-10-15T10:42:46+00:00,web-flow,2024-10-15T10:42:46+00:00,"Update README.md

Added link to AI Discord channel",2,0,2,1,8da2a08ca955c1c145b5a715059fccc62dac63ec
microsoft/Data-Science-For-Beginners,8da2a08ca955c1c145b5a715059fccc62dac63ec,https://github.com/microsoft/Data-Science-For-Beginners/commit/8da2a08ca955c1c145b5a715059fccc62dac63ec,leestott,2511341,User,2024-08-27T16:00:02+00:00,web-flow,2024-08-27T16:00:02+00:00,Quiz App,80,1,81,2,0d75f30aa7eb18767a4345aea4f94cfbc3c355d4
microsoft/Data-Science-For-Beginners,0d75f30aa7eb18767a4345aea4f94cfbc3c355d4,https://github.com/microsoft/Data-Science-For-Beginners/commit/0d75f30aa7eb18767a4345aea4f94cfbc3c355d4,WirelessLife,17089114,User,2024-02-20T04:36:54+00:00,web-flow,2024-02-20T04:36:54+00:00,"Update README.md

Updating ""Other Courses"" to include Security Course",1,0,1,1,580071eae3a2779625a710e80032cce5fb16846d
microsoft/Data-Science-For-Beginners,580071eae3a2779625a710e80032cce5fb16846d,https://github.com/microsoft/Data-Science-For-Beginners/commit/580071eae3a2779625a710e80032cce5fb16846d,paladique,1414307,User,2024-02-07T18:31:50+00:00,web-flow,2024-02-07T18:31:50+00:00,make raw data topic a header,4,1,5,1,d3f8bd4f5cce45b9ad67d582126001ba6e81e9c7
microsoft/Data-Science-For-Beginners,d3f8bd4f5cce45b9ad67d582126001ba6e81e9c7,https://github.com/microsoft/Data-Science-For-Beginners/commit/d3f8bd4f5cce45b9ad67d582126001ba6e81e9c7,BethanyJep,44121227,User,2024-02-06T08:08:53+00:00,BethanyJep,2024-02-06T08:08:53+00:00,update permission on GitHub Token,14,0,14,1,0c7e46a0db1d6925982d6323b246299b3855ce32
microsoft/Data-Science-For-Beginners,0c7e46a0db1d6925982d6323b246299b3855ce32,https://github.com/microsoft/Data-Science-For-Beginners/commit/0c7e46a0db1d6925982d6323b246299b3855ce32,WirelessLife,17089114,User,2023-11-30T14:31:29+00:00,web-flow,2023-11-30T14:31:29+00:00,"Update README.md

Updating ""Other Curricula""",1,0,1,1,163e7befe9f3d6a390f8461b73cce744160abc74
microsoft/Data-Science-For-Beginners,163e7befe9f3d6a390f8461b73cce744160abc74,https://github.com/microsoft/Data-Science-For-Beginners/commit/163e7befe9f3d6a390f8461b73cce744160abc74,WirelessLife,17089114,User,2023-11-28T00:39:41+00:00,web-flow,2023-11-28T00:39:41+00:00,Update README.md,1,0,1,1,a51de08fdba5091c4538d08d7d69f5987c464b03
