repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
qax-os/excelize,2c3d13fe8b492892671798fa90a85de1a04dc796,https://github.com/qax-os/excelize/commit/2c3d13fe8b492892671798fa90a85de1a04dc796,shcabin,5463832,User,2025-05-12T05:37:33+00:00,web-flow,2025-05-12T05:37:33+00:00,"Using binary search instead of sequential search for cell (#2129)

- Update unit tests",28,9,37,2,094ff396fe73233056a3c87da554b80b4c9d9bb7
qax-os/excelize,094ff396fe73233056a3c87da554b80b4c9d9bb7,https://github.com/qax-os/excelize/commit/094ff396fe73233056a3c87da554b80b4c9d9bb7,Now-Shimmer,130445987,User,2025-05-09T16:03:03+00:00,web-flow,2025-05-09T16:03:03+00:00,"This related with #2123, made editAs attribute value empty for one cell anchor drawing object (#2128)

* Fix absolute positioning to-point error and adjust one cell anchor drawing object failed
* Revert default column width and row height
* Clean shared formula cell cache before remvoe it in calc chain
* Revert adjustFormulaRef changes in the commit 3ccbdaa9cc8c0f0c94f0445da3a3097c19fd2d78
* Update unit tests



* Format code",66,54,120,13,d230ecdb48b77450baa5fe664f5681ef3ad38360
qax-os/excelize,d230ecdb48b77450baa5fe664f5681ef3ad38360,https://github.com/qax-os/excelize/commit/d230ecdb48b77450baa5fe664f5681ef3ad38360,R3dByt3,20931260,User,2025-05-08T11:58:30+00:00,web-flow,2025-05-08T11:58:30+00:00,"This closes #2126, fix sheet name error in defined name after rename sheet (#2127)

- Update unit tests",11,10,21,2,8fdc26e286734b808dcab1546760768b60045e67
qax-os/excelize,8fdc26e286734b808dcab1546760768b60045e67,https://github.com/qax-os/excelize/commit/8fdc26e286734b808dcab1546760768b60045e67,R3dByt3,20931260,User,2025-05-07T01:35:32+00:00,web-flow,2025-05-07T01:35:32+00:00,"This fixes #2001 and fixes #2002. Breaking changes: offsets no longer affect the image size (#2123)

- Change default column width from 9.140625 to 10.5
- Change default column width in pixels from 64 to 84
- Change default row height from 15 to 15.6
- Change default row height in pixels from 20 to 20.8
- Change column width and row height to pixels conversion calculation logic
- Support to insert one cell anchor image when specified the positioning as ""oneCell""",133,92,225,12,efdfc52252a3f9a840e47da0c8bd4017845eef7a
qax-os/excelize,efdfc52252a3f9a840e47da0c8bd4017845eef7a,https://github.com/qax-os/excelize/commit/efdfc52252a3f9a840e47da0c8bd4017845eef7a,tgulacsi,256074,User,2025-04-28T01:43:13+00:00,web-flow,2025-04-28T01:43:13+00:00,"This closes #2119, remove all temporary files on close workbook (#2120)",40,15,55,5,3ccbdaa9cc8c0f0c94f0445da3a3097c19fd2d78
qax-os/excelize,3ccbdaa9cc8c0f0c94f0445da3a3097c19fd2d78,https://github.com/qax-os/excelize/commit/3ccbdaa9cc8c0f0c94f0445da3a3097c19fd2d78,xuri,2809468,User,2025-04-27T02:16:57+00:00,xuri,2025-04-27T02:16:57+00:00,Clean shared formula cell cache on remove formula and simplify adjust formula reference code,10,27,37,2,b9f2c9e0055d7e95755d71f3f9861aa090d8eb81
qax-os/excelize,b9f2c9e0055d7e95755d71f3f9861aa090d8eb81,https://github.com/qax-os/excelize/commit/b9f2c9e0055d7e95755d71f3f9861aa090d8eb81,shcabin,5463832,User,2025-04-26T09:29:33+00:00,web-flow,2025-04-26T09:29:33+00:00,"This closes #1961, add shared formula cell cache for speedup calculation (#2118)

- Reuse formula shared index when update refer cell formula
- Fix shared cell not been updated on update refer cell formula with new range
- Upgrade dependencies package go-deepcopy to v1.5.2
- Update unit tests",177,58,235,14,0f19d7fcd7c7c6ab3f25a363ced93896a4d323e8
qax-os/excelize,0f19d7fcd7c7c6ab3f25a363ced93896a4d323e8,https://github.com/qax-os/excelize/commit/0f19d7fcd7c7c6ab3f25a363ced93896a4d323e8,xuri,2809468,User,2025-04-21T23:59:52+00:00,xuri,2025-04-21T23:59:52+00:00,"This closes #2117, support add data table for chart

- Add ShowDataTable and ShowDataTableKeys fields in the ChartPlotArea data type
- Update unit tests",46,10,56,4,55cf0d42a76bc4f8d8810d4d8dcc5017debe1082
qax-os/excelize,55cf0d42a76bc4f8d8810d4d8dcc5017debe1082,https://github.com/qax-os/excelize/commit/55cf0d42a76bc4f8d8810d4d8dcc5017debe1082,shcabin,5463832,User,2025-04-18T11:52:59+00:00,web-flow,2025-04-18T11:52:59+00:00,"Improve cell read performance by optimizing XML parsing (#2116)

- Rows iterator speedup about 20%, memory allocation reduce about 10%
- Update unit test
- Extends time out to 50 minutes in GitHub Action for made TestZip64 stable",120,2,122,3,ce9061fe468b7eb3a74ccf24e06bfc00a6d3552e
qax-os/excelize,ce9061fe468b7eb3a74ccf24e06bfc00a6d3552e,https://github.com/qax-os/excelize/commit/ce9061fe468b7eb3a74ccf24e06bfc00a6d3552e,xuri,2809468,User,2025-04-16T11:54:32+00:00,xuri,2025-04-16T11:54:32+00:00,"This fix corrupted workbook generated when any inner ZIP64 file's size exceeds 4GB

- Update unit tests
- Support set version required to 4.5 in local file header
- Note that this fix not work on Office 2010",131,29,160,3,f85dae6cfa7aabfa67a957a1dc1b926e07a58147
