repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
rasbt/python-machine-learning-book,903209f79735249613da5e2019be06d1d6a09e2c,https://github.com/rasbt/python-machine-learning-book/commit/903209f79735249613da5e2019be06d1d6a09e2c,NicholasWilsonDEV,183866110.0,User,2024-11-20T23:58:23+00:00,web-flow,2024-11-20T23:58:23+00:00,"Updated README.md, fix typo(s) (#107)",1,1,2,1,17e037bec5c6beb509d0e77d63ea537ef3a0a281
rasbt/python-machine-learning-book,17e037bec5c6beb509d0e77d63ea537ef3a0a281,https://github.com/rasbt/python-machine-learning-book/commit/17e037bec5c6beb509d0e77d63ea537ef3a0a281,bikashdaga09,111844391.0,User,2022-08-23T11:32:52+00:00,web-flow,2022-08-23T11:32:52+00:00,"Added a helpful link (#96)

Hey, I have added a helpful reference link for the python tutorial in the Additional Resources & Further Reading section that I think will best add to your content and give your readers a more diverse understanding of the topic. I hope you will like this. Thank you.",2,0,2,1,e40f51f267a83c473afb17f69797e33c5acd3472
rasbt/python-machine-learning-book,e40f51f267a83c473afb17f69797e33c5acd3472,https://github.com/rasbt/python-machine-learning-book/commit/e40f51f267a83c473afb17f69797e33c5acd3472,timgates42,47873678.0,User,2021-07-30T13:18:39+00:00,web-flow,2021-07-30T13:18:39+00:00,"docs: Fix a few typos (#94)

There are small typos in:
- code/ch01/README.md
- code/ch12/optional-streamlined-neuralnet.py
- faq/ai-and-ml.md
- faq/naive-bayes-vartypes.md
- faq/scale-training-test.md

Fixes:
- Should read `were` rather than `weere`.
- Should read `occurrences` rather than `occurences`.
- Should read `laborious` rather than `labrorious`.
- Should read `initializing` rather than `initalizing`.
- Should read `distribution` rather than `distribtion`.
- Should read `dataset` rather than `datast`.",5,5,10,5,23853c58a3279a95048245cc8924a48f6316d915
rasbt/python-machine-learning-book,23853c58a3279a95048245cc8924a48f6316d915,https://github.com/rasbt/python-machine-learning-book/commit/23853c58a3279a95048245cc8924a48f6316d915,rasbt,5618407.0,User,2018-07-22T15:11:19+00:00,rasbt,2018-07-22T15:11:19+00:00,note about tf_classifier,4,0,4,1,0b68287b40c6f23e47fb1712809e86b53056006c
rasbt/python-machine-learning-book,0b68287b40c6f23e47fb1712809e86b53056006c,https://github.com/rasbt/python-machine-learning-book/commit/0b68287b40c6f23e47fb1712809e86b53056006c,rasbt,5618407.0,User,2018-06-22T19:10:53+00:00,rasbt,2018-06-22T19:10:53+00:00,"pg 194 the ""..."" should be a "">>>""",3,2,5,1,a657020e9f75a90fd68dce70a610672c589ab56a
rasbt/python-machine-learning-book,a657020e9f75a90fd68dce70a610672c589ab56a,https://github.com/rasbt/python-machine-learning-book/commit/a657020e9f75a90fd68dce70a610672c589ab56a,rasbt,5618407.0,User,2018-06-06T21:53:15+00:00,rasbt,2018-06-06T21:53:15+00:00,update leader board,2,1,3,1,d7523ac7ec1d87983e5b0f28644f14002d4629a4
rasbt/python-machine-learning-book,d7523ac7ec1d87983e5b0f28644f14002d4629a4,https://github.com/rasbt/python-machine-learning-book/commit/d7523ac7ec1d87983e5b0f28644f14002d4629a4,rasbt,5618407.0,User,2018-02-16T01:36:39+00:00,rasbt,2018-02-16T01:36:39+00:00,update isbns,5,2,7,2,9aebd10aa8e91c6d7746cf4bc177b651fbc19fc8
rasbt/python-machine-learning-book,9aebd10aa8e91c6d7746cf4bc177b651fbc19fc8,https://github.com/rasbt/python-machine-learning-book/commit/9aebd10aa8e91c6d7746cf4bc177b651fbc19fc8,rasbt,5618407.0,User,2017-12-18T13:03:42+00:00,rasbt,2017-12-18T13:03:42+00:00,add polish translation,3,0,3,2,30213768251351740d0f6e95468a32de50b25034
rasbt/python-machine-learning-book,30213768251351740d0f6e95468a32de50b25034,https://github.com/rasbt/python-machine-learning-book/commit/30213768251351740d0f6e95468a32de50b25034,sourcesoft,608906.0,User,2017-10-14T18:22:23+00:00,rasbt,2017-10-14T18:22:23+00:00,fix small typo (#64),1,1,2,1,041191b94138acc33e74ee851be4064e18fe011e
rasbt/python-machine-learning-book,041191b94138acc33e74ee851be4064e18fe011e,https://github.com/rasbt/python-machine-learning-book/commit/041191b94138acc33e74ee851be4064e18fe011e,rasbt,5618407.0,User,2017-10-09T00:52:10+00:00,rasbt,2017-10-09T00:52:10+00:00,evaluate in vector graphics,8117,0,8117,2,77122f66fdba2f833d45b434e303046b8b593095
