repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
scikit-learn/scikit-learn,efe3b63589f628516a16ac9d620ccf172052572f,https://github.com/scikit-learn/scikit-learn/commit/efe3b63589f628516a16ac9d620ccf172052572f,lesteve,1680079,User,2025-05-12T14:23:06+00:00,web-flow,2025-05-12T14:23:06+00:00,CI Use Cython 3.1 for free-threaded build (#31357),8,17,25,4,8c508c48d5aefff5ed0b2d675672f4aeb23aeac2
scikit-learn/scikit-learn,8c508c48d5aefff5ed0b2d675672f4aeb23aeac2,https://github.com/scikit-learn/scikit-learn/commit/8c508c48d5aefff5ed0b2d675672f4aeb23aeac2,ogrisel,89061,User,2025-05-12T12:46:07+00:00,web-flow,2025-05-12T12:46:07+00:00,"Fix do not recommend to increase `max_iter` in `ConvergenceWarning` when not appropriate (#31316)

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
Co-authored-by: Thomas J. Fan <thomasjpfan@gmail.com>",95,17,112,6,c1e6494c81c23dc17c5140dcef0c7722c739d9c0
scikit-learn/scikit-learn,c1e6494c81c23dc17c5140dcef0c7722c739d9c0,https://github.com/scikit-learn/scikit-learn/commit/c1e6494c81c23dc17c5140dcef0c7722c739d9c0,chemousesi,43786170,User,2025-05-12T12:18:51+00:00,web-flow,2025-05-12T12:18:51+00:00,"DOC Add ""see also"" section to learning_curve docstring (#31321)",5,0,5,1,4480163137003a520ccf7d134426638b466db0fb
scikit-learn/scikit-learn,4480163137003a520ccf7d134426638b466db0fb,https://github.com/scikit-learn/scikit-learn/commit/4480163137003a520ccf7d134426638b466db0fb,lucyleeow,23182829,User,2025-05-12T12:15:15+00:00,web-flow,2025-05-12T12:15:15+00:00,TST Add unit tests for `_BinaryClassifierCurveDisplayMixin` (#31193),108,0,108,1,f16de742f403ad0cde83d9e152b7f4f3ccf00e96
scikit-learn/scikit-learn,f16de742f403ad0cde83d9e152b7f4f3ccf00e96,https://github.com/scikit-learn/scikit-learn/commit/f16de742f403ad0cde83d9e152b7f4f3ccf00e96,Superbowy,23294574,User,2025-05-12T12:14:24+00:00,web-flow,2025-05-12T12:14:24+00:00,DOC Add reference to PrecisionRecallDisplay in average_precision_score docstring (#31305),4,0,4,1,4c453e95b3162579ac5bc6e0cd7c0ba32c02a16a
scikit-learn/scikit-learn,4c453e95b3162579ac5bc6e0cd7c0ba32c02a16a,https://github.com/scikit-learn/scikit-learn/commit/4c453e95b3162579ac5bc6e0cd7c0ba32c02a16a,scikit-learn-bot,8699527,User,2025-05-12T09:25:40+00:00,web-flow,2025-05-12T09:25:40+00:00,":lock: :robot: CI Update lock files for main CI build(s) :lock: :robot: (#31355)

Co-authored-by: Lock file bot <noreply@github.com>",187,184,371,12,7aab308f113bd83404a683c4773d3367e4770dd0
scikit-learn/scikit-learn,7aab308f113bd83404a683c4773d3367e4770dd0,https://github.com/scikit-learn/scikit-learn/commit/7aab308f113bd83404a683c4773d3367e4770dd0,scikit-learn-bot,8699527,User,2025-05-12T09:24:42+00:00,web-flow,2025-05-12T09:24:42+00:00,":lock: :robot: CI Update lock files for scipy-dev CI build(s) :lock: :robot: (#31352)

Co-authored-by: Lock file bot <noreply@github.com>",2,2,4,1,dff0eab233a051a8c908750d82b2ebe9d95e6cc7
scikit-learn/scikit-learn,dff0eab233a051a8c908750d82b2ebe9d95e6cc7,https://github.com/scikit-learn/scikit-learn/commit/dff0eab233a051a8c908750d82b2ebe9d95e6cc7,Meddhif13,40263854,User,2025-05-12T08:41:10+00:00,web-flow,2025-05-12T08:41:10+00:00,DOC Add references to DetCurveDisplay docstring (#31307),12,3,15,1,becfab82f1bd6a270729f77fecef50078889538a
scikit-learn/scikit-learn,becfab82f1bd6a270729f77fecef50078889538a,https://github.com/scikit-learn/scikit-learn/commit/becfab82f1bd6a270729f77fecef50078889538a,scikit-learn-bot,8699527,User,2025-05-12T08:36:58+00:00,web-flow,2025-05-12T08:36:58+00:00,":lock: :robot: CI Update lock files for array-api CI build(s) :lock: :robot: (#31354)

Co-authored-by: Lock file bot <noreply@github.com>",59,56,115,1,5b031bfce5fbd38697e8634175aa15ea4927432e
scikit-learn/scikit-learn,5b031bfce5fbd38697e8634175aa15ea4927432e,https://github.com/scikit-learn/scikit-learn/commit/5b031bfce5fbd38697e8634175aa15ea4927432e,scikit-learn-bot,8699527,User,2025-05-12T08:33:02+00:00,web-flow,2025-05-12T08:33:02+00:00,":lock: :robot: CI Update lock files for free-threaded CI build(s) :lock: :robot: (#31353)

Co-authored-by: Lock file bot <noreply@github.com>",12,11,23,1,acb3833375b54347fa4a2430d5e9d6b7423e714c
scikit-learn/scikit-learn,acb3833375b54347fa4a2430d5e9d6b7423e714c,https://github.com/scikit-learn/scikit-learn/commit/acb3833375b54347fa4a2430d5e9d6b7423e714c,lesteve,1680079,User,2025-05-12T03:10:19+00:00,web-flow,2025-05-12T03:10:19+00:00,MNT Fix doctest dict value (#31340),1,1,2,1,aa21650bcfbebeb4dd346307931dd1ed14a6f434
scikit-learn/scikit-learn,aa21650bcfbebeb4dd346307931dd1ed14a6f434,https://github.com/scikit-learn/scikit-learn/commit/aa21650bcfbebeb4dd346307931dd1ed14a6f434,lucyleeow,23182829,User,2025-05-09T19:42:14+00:00,web-flow,2025-05-09T19:42:14+00:00,DOC Remove old section `_fit_and_score_over_thresholds` (#31339),2,7,9,1,fec2fe6d9081d205a3b964d1e2cef164f5abdc85
scikit-learn/scikit-learn,fec2fe6d9081d205a3b964d1e2cef164f5abdc85,https://github.com/scikit-learn/scikit-learn/commit/fec2fe6d9081d205a3b964d1e2cef164f5abdc85,lesteve,1680079,User,2025-05-09T19:40:11+00:00,web-flow,2025-05-09T19:40:11+00:00,BLD Add missing cython generator for a few extensions (#31346),4,4,8,4,e70ae56ed75e3f51ff87d2538bdcc1c2525d13fd
scikit-learn/scikit-learn,e70ae56ed75e3f51ff87d2538bdcc1c2525d13fd,https://github.com/scikit-learn/scikit-learn/commit/e70ae56ed75e3f51ff87d2538bdcc1c2525d13fd,jeremiedbb,34657725,User,2025-05-09T15:29:46+00:00,web-flow,2025-05-09T15:29:46+00:00,MNT Bump version to 1.8.dev0 on main (#31336),37,2,39,4,ffcd361421f68ca34bc3f91dbd21a44d245dfbe9
scikit-learn/scikit-learn,ffcd361421f68ca34bc3f91dbd21a44d245dfbe9,https://github.com/scikit-learn/scikit-learn/commit/ffcd361421f68ca34bc3f91dbd21a44d245dfbe9,OmarManzoor,17495884,User,2025-05-09T09:09:06+00:00,web-flow,2025-05-09T09:09:06+00:00,FEA Add array api support for jaccard score (#31204),13,4,17,4,27f2af30fa343fbf526ff3b9d39f3f5df798842c
scikit-learn/scikit-learn,27f2af30fa343fbf526ff3b9d39f3f5df798842c,https://github.com/scikit-learn/scikit-learn/commit/27f2af30fa343fbf526ff3b9d39f3f5df798842c,lesteve,1680079,User,2025-05-09T08:10:27+00:00,web-flow,2025-05-09T08:10:27+00:00,MNT Use PYTHON_GIL=0 only at test time to avoid interference with conda (#31341),8,1,9,2,13d00dcd5e6a41b336a2f39017480edce0fdc27a
scikit-learn/scikit-learn,13d00dcd5e6a41b336a2f39017480edce0fdc27a,https://github.com/scikit-learn/scikit-learn/commit/13d00dcd5e6a41b336a2f39017480edce0fdc27a,lesteve,1680079,User,2025-05-09T07:40:49+00:00,web-flow,2025-05-09T07:40:49+00:00,MNT Update conda-lock to 3.0.1 (#31333),89,94,183,17,aca49c1dec168ef9ffdac34ec648fb615fd4801d
scikit-learn/scikit-learn,aca49c1dec168ef9ffdac34ec648fb615fd4801d,https://github.com/scikit-learn/scikit-learn/commit/aca49c1dec168ef9ffdac34ec648fb615fd4801d,ArturoAmorQ,86408019,User,2025-05-08T10:48:49+00:00,web-flow,2025-05-08T10:48:49+00:00,"DOC Improve Contributer guide for writting docstrings (#31330)

Co-authored-by: ArturoAmorQ <arturo.amor-quiroz@polytechnique.edu>
Co-authored-by: Stefanie Senger <91849487+StefanieSenger@users.noreply.github.com>",22,1,23,1,da0dac352825da3b8832f2cecf399227824a6f80
