repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
streamlit/streamlit,3c99f2051644fd942844d0014540911afeea36bc,https://github.com/streamlit/streamlit/commit/3c99f2051644fd942844d0014540911afeea36bc,dependabot[bot],49699333,Bot,2025-05-12T11:22:05+00:00,web-flow,2025-05-12T11:22:05+00:00,"Bump urlpattern-polyfill from 10.0.0 to 10.1.0 in /frontend (#11328)

Bumps
[urlpattern-polyfill](https://github.com/kenchris/urlpattern-polyfill)
from 10.0.0 to 10.1.0.
<details>
<summary>Commits</summary>
<ul>
<li>See full diff in <a
href=""https://github.com/kenchris/urlpattern-polyfill/commits"">compare
view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility
score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=urlpattern-polyfill&package-manager=npm_and_yarn&previous-version=10.0.0&new-version=10.1.0)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't
alter it yourself. You can also trigger a rebase manually by commenting
`@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits
that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after
your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge
and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating
it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all
of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop
Dependabot creating any more for this major version (unless you reopen
the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop
Dependabot creating any more for this minor version (unless you reopen
the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop
Dependabot creating any more for this dependency (unless you reopen the
PR or upgrade to it yourself)


</details>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",6,6,12,2,dce706c6c3c727f094a622e2e724854f5e7b257e
streamlit/streamlit,dce706c6c3c727f094a622e2e724854f5e7b257e,https://github.com/streamlit/streamlit/commit/dce706c6c3c727f094a622e2e724854f5e7b257e,dependabot[bot],49699333,Bot,2025-05-12T11:21:59+00:00,web-flow,2025-05-12T11:21:59+00:00,"Bump query-string from 9.1.1 to 9.1.2 in /frontend (#11329)

Bumps [query-string](https://github.com/sindresorhus/query-string) from
9.1.1 to 9.1.2.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a
href=""https://github.com/sindresorhus/query-string/releases"">query-string's
releases</a>.</em></p>
<blockquote>
<h2>v9.1.2</h2>
<ul>
<li>Fix <code>types</code> option with <code>arrayFormat: comma</code>
and one item in array (<a
href=""https://redirect.github.com/sindresorhus/query-string/issues/406"">#406</a>)
3e61882</li>
</ul>
<hr />
<p><a
href=""https://github.com/sindresorhus/query-string/compare/v9.1.1...v9.1.2"">https://github.com/sindresorhus/query-string/compare/v9.1.1...v9.1.2</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a
href=""https://github.com/sindresorhus/query-string/commit/ad9fe2fed20f4c4f18076d17d5275a83a93ed006""><code>ad9fe2f</code></a>
9.1.2</li>
<li><a
href=""https://github.com/sindresorhus/query-string/commit/3e6188231268dca3bb514451839b263a70538e7b""><code>3e61882</code></a>
Fix <code>types</code> option with <code>arrayFormat: comma</code> and
one item in array (<a
href=""https://redirect.github.com/sindresorhus/query-string/issues/406"">#406</a>)</li>
<li><a
href=""https://github.com/sindresorhus/query-string/commit/88e1e36dd3bccf178dfaf54f44293e790d8bbd9d""><code>88e1e36</code></a>
Add failing test for <a
href=""https://redirect.github.com/sindresorhus/query-string/issues/404"">#404</a></li>
<li><a
href=""https://github.com/sindresorhus/query-string/commit/fbeefd60bcac56262d7f425477dd16df9ed7780c""><code>fbeefd6</code></a>
Meta tweaks</li>
<li><a
href=""https://github.com/sindresorhus/query-string/commit/4b925475a842eb3c951fcc1cd1d6aa7f82c98c16""><code>4b92547</code></a>
Fix readme typos (<a
href=""https://redirect.github.com/sindresorhus/query-string/issues/397"">#397</a>)</li>
<li>See full diff in <a
href=""https://github.com/sindresorhus/query-string/compare/v9.1.1...v9.1.2"">compare
view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility
score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=query-string&package-manager=npm_and_yarn&previous-version=9.1.1&new-version=9.1.2)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't
alter it yourself. You can also trigger a rebase manually by commenting
`@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits
that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after
your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge
and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating
it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all
of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop
Dependabot creating any more for this major version (unless you reopen
the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop
Dependabot creating any more for this minor version (unless you reopen
the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop
Dependabot creating any more for this dependency (unless you reopen the
PR or upgrade to it yourself)


</details>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",6,6,12,2,18b10a260c6cd0810c9d5ea6b95bbfa6955037bf
streamlit/streamlit,18b10a260c6cd0810c9d5ea6b95bbfa6955037bf,https://github.com/streamlit/streamlit/commit/18b10a260c6cd0810c9d5ea6b95bbfa6955037bf,mayagbarnes,63436329,User,2025-05-11T07:03:03+00:00,web-flow,2025-05-11T07:03:03+00:00,"Remove `set_page_config` restrictions (#11286)

This PR remove the two `st.set_page_config` restrictions:
- It can only be called as the first `st` command (with some exceptions)
- It can only be called once per script run
The properties are additive (if the first call sets a `page_title` and the second call sets a `page_icon`, the page now has both the provided title & icon). This also applies for `menu_items`.",166,127,293,9,48250df4f5206e3670f351ff28b53759097d9eef
streamlit/streamlit,48250df4f5206e3670f351ff28b53759097d9eef,https://github.com/streamlit/streamlit/commit/48250df4f5206e3670f351ff28b53759097d9eef,co63oc,4617245,User,2025-05-11T05:04:35+00:00,web-flow,2025-05-11T05:04:35+00:00,"Fix typos in multiple files (#11311)

Fix typos in multiple files found by codespell",68,68,136,52,cc040df25dfaeb7888f60b76490770ee781c7f37
streamlit/streamlit,cc040df25dfaeb7888f60b76490770ee781c7f37,https://github.com/streamlit/streamlit/commit/cc040df25dfaeb7888f60b76490770ee781c7f37,lukasmasuch,2852129,User,2025-05-09T23:38:00+00:00,web-flow,2025-05-09T23:38:00+00:00,"Add mega tester app to e2e tests to check for console and CSP errors (#10882)

## Describe your changes

This adds the mega tester app from
https://github.com/streamlit/mega-tester to our e2e tests. This allows
us to run the mega tester app and check for web console errors and
potential CSP errors using a CSP policy similar to SiS.

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this
project are made under the Apache 2.0 license.

---------

Co-authored-by: Lukas Masuch <103002573+sfc-gh-lmasuch@users.noreply.github.com>",827,327,1154,11,581609db8359c3302d182fd991e06ee334344b47
streamlit/streamlit,581609db8359c3302d182fd991e06ee334344b47,https://github.com/streamlit/streamlit/commit/581609db8359c3302d182fd991e06ee334344b47,lukasmasuch,2852129,User,2025-05-09T20:05:41+00:00,web-flow,2025-05-09T20:05:41+00:00,"Enforce python typing annotations (#11289)

## Describe your changes

Enforces the correct usage of python typing annotations by:
- Activating the [flake8-annotations
(ANN)](https://docs.astral.sh/ruff/rules/#flake8-annotations-ann)
linting rule set.
- Activating `disallow_incomplete_defs` in mypy

This PR also adds typing annotations wherever it was missing. The next
step is to prevent fully untyped methods by setting
`ignore-fully-untyped = false` in the Ruff config and to activate type
checking via mypy in the `e2e_playwright` folder.

There are **no logical changes** in this PR.

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this
project are made under the Apache 2.0 license.",866,763,1629,137,9a84d7a29f2c38547d2d4b7aa05e48803ec69035
streamlit/streamlit,9a84d7a29f2c38547d2d4b7aa05e48803ec69035,https://github.com/streamlit/streamlit/commit/9a84d7a29f2c38547d2d4b7aa05e48803ec69035,sfc-gh-bnisco,178842601,User,2025-05-09T19:54:24+00:00,web-flow,2025-05-09T19:54:24+00:00,"[refactor] Activate import/no-named-as-default-member eslint rule (#11285)

## Describe your changes

- Activates the `import/no-named-as-default-member` rule and fixes most
existing breakages of the rule

## GitHub Issue Link (if applicable)

## Testing Plan

- This is an eslint change, which is checked at build time

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this
project are made under the Apache 2.0 license.",280,265,545,58,bd298842496843302551685642acf09a50186697
streamlit/streamlit,bd298842496843302551685642acf09a50186697,https://github.com/streamlit/streamlit/commit/bd298842496843302551685642acf09a50186697,lukasmasuch,2852129,User,2025-05-09T19:33:25+00:00,web-flow,2025-05-09T19:33:25+00:00,"Add safeguard for cached messages cleanup (#11302)

## Describe your changes

There seems to be an error case with the new forward message cache,
resulting in a cache miss. One theory why this might happen:

1. User triggers rerun (with cache message A)
2. Frontend receives finished message from the previous rerun ->
cleaning up cached message A
3. Frontend receives new session message from new rerun
4. Frontend receives reference message for message A -> crash

This PR would prevent this issue by ignoring the finished message from
the previous script run.

There is another potential error scenario:
 1. User triggers rerun 1 (with cache message A) 
 2. User triggers rerun 2 (with cache message A)
 3. Frontend receives new session message for rerun 1
 4. Frontend receives finished message for rerun 1
 5. Frontend receives new session message for rerun 2
 6. Frontend receives finished message for rerun 2

However, I'm not sure if this scenario is feasible. It would require
very fast user interactions paired with very fast script executions.

## GitHub Issue Link (if applicable)

- Closes https://github.com/streamlit/streamlit/issues/11299
- Closes https://github.com/streamlit/streamlit/issues/11300

## Testing Plan

- Added unit test
- Very hard to e2e test this.

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this
project are made under the Apache 2.0 license.",118,4,122,2,741f5fb2c48faf078ec3da672a934e7e4af96f6f
streamlit/streamlit,741f5fb2c48faf078ec3da672a934e7e4af96f6f,https://github.com/streamlit/streamlit/commit/741f5fb2c48faf078ec3da672a934e7e4af96f6f,sfc-gh-lwilby,103002751,User,2025-05-09T17:35:53+00:00,web-flow,2025-05-09T17:35:53+00:00,"Consolidate vertical and horizontal containers (#10960)

## Describe your changes

As part of the Advanced Layouts project, we are extending `st.container`
to be configurable as a flex container. This PR does some refactoring in
preparation for these changes.

Key Changes:

- Create a general `FlexBoxContainer` component that may be vertical or
horizontal. When the flex container changes are rolled out, this will be
configurable by the user, but currently it is just configured in
`layouts.py` to replace the existing vertical container and the
horizontal wrapper for a set of columns.
- Create a general `ContainerContentsWrapper` component that will be
used as a wrapper for the contents of other container types (e.g.
popover, expander) and also in AppView to wrap the contents of the main
app view.

Underneath, both of these components use the same
`StyledFlexContainerBlock` underneath, but the
`ContainerContentsWrapper` is simpler because it doesn't need to handle
the configuration from the user.

These changes should make it easier to reason about the more complex
changes that are going to be added by the advanced layouts project.

This also simplifies the protos required when we rollout the flex
container.


## GitHub Issue Link (if applicable)

## Testing Plan

- Explanation of why no additional tests are needed
- Unit Tests (JS and/or Python)
- E2E Tests
- Any manual testing needed?

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this
project are made under the Apache 2.0 license.",999,306,1305,20,b7650795b365aaed270b0304d7a398baae442b03
streamlit/streamlit,b7650795b365aaed270b0304d7a398baae442b03,https://github.com/streamlit/streamlit/commit/b7650795b365aaed270b0304d7a398baae442b03,sfc-gh-bnisco,178842601,User,2025-05-09T16:37:15+00:00,web-flow,2025-05-09T16:37:15+00:00,"[refactor] Activate no-prototype-builtins eslint rule (#11310)

## Describe your changes

- Activates the `no-prototype-builtins` rule and fixes all existing
breakages of the rule

## GitHub Issue Link (if applicable)

## Testing Plan

- This is an eslint change, which is checked at build time

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this
project are made under the Apache 2.0 license.",9,11,20,6,985d1101181725d844b03f26c0d8c9887c11000c
