repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
visenger/awesome-mlops,ef2638bd6262ca1830c7c04cc71c996e3adfc6f3,https://github.com/visenger/awesome-mlops/commit/ef2638bd6262ca1830c7c04cc71c996e3adfc6f3,visenger,2014749.0,User,2024-11-21T14:45:11+00:00,web-flow,2024-11-21T14:45:11+00:00,Update README.md,4,2,6,1,b29c13fd71449019966e169c6d4020aea857b040
visenger/awesome-mlops,b29c13fd71449019966e169c6d4020aea857b040,https://github.com/visenger/awesome-mlops/commit/b29c13fd71449019966e169c6d4020aea857b040,visenger,2014749.0,User,2024-11-21T14:43:34+00:00,web-flow,2024-11-21T14:43:34+00:00,Update README.md,1,2,3,1,2d7a0e1564eba48fbf31ed471241b9f6c90f61fb
visenger/awesome-mlops,2d7a0e1564eba48fbf31ed471241b9f6c90f61fb,https://github.com/visenger/awesome-mlops/commit/2d7a0e1564eba48fbf31ed471241b9f6c90f61fb,visenger,2014749.0,User,2024-11-21T14:38:49+00:00,web-flow,2024-11-21T14:38:49+00:00,Update README.md,1,5,6,1,e95c9211f31baa255d7de06f8b973f868c08bff5
visenger/awesome-mlops,e95c9211f31baa255d7de06f8b973f868c08bff5,https://github.com/visenger/awesome-mlops/commit/e95c9211f31baa255d7de06f8b973f868c08bff5,visenger,2014749.0,User,2024-04-23T20:28:58+00:00,web-flow,2024-04-23T20:28:58+00:00,"Merge pull request #122 from anmorgan24/add-udacity-llmops-course

Add Udacity LLMOps course",1,0,1,1,"135e22b8c6a09ced1f87fd454fa963a4bbf05f4b,3bd2316e3a4941714e9d0af5578869a6384ed0d8"
visenger/awesome-mlops,135e22b8c6a09ced1f87fd454fa963a4bbf05f4b,https://github.com/visenger/awesome-mlops/commit/135e22b8c6a09ced1f87fd454fa963a4bbf05f4b,visenger,2014749.0,User,2024-04-23T20:28:15+00:00,web-flow,2024-04-23T20:28:15+00:00,"Merge pull request #118 from BastiQ/added_mlopsinsights_newsletter

Added MLOps Insights Newsletter",1,0,1,1,"02720fb8050e052a6f86db5bde2ee39b871c58d4,3bcbf29684125072bd1efecd7abb3be012b09243"
visenger/awesome-mlops,3bd2316e3a4941714e9d0af5578869a6384ed0d8,https://github.com/visenger/awesome-mlops/commit/3bd2316e3a4941714e9d0af5578869a6384ed0d8,anmorgan24,86856445.0,User,2024-04-22T19:53:23+00:00,web-flow,2024-04-22T19:53:23+00:00,"Add Udacity LLMOps course

Added free Udacity LLMOps course 

Signed-off-by: Abby Morgan abigailm@comet.com",1,0,1,1,02720fb8050e052a6f86db5bde2ee39b871c58d4
visenger/awesome-mlops,02720fb8050e052a6f86db5bde2ee39b871c58d4,https://github.com/visenger/awesome-mlops/commit/02720fb8050e052a6f86db5bde2ee39b871c58d4,visenger,2014749.0,User,2024-03-12T13:28:25+00:00,web-flow,2024-03-12T13:28:25+00:00,"Merge pull request #119 from mlopsnews/master

Added MLOps books published for 2023.",3,0,3,1,"e911bbffb43f8197ac8d6e8ebfcdc4e3c39f01c2,1a7a04dea7049a86a844d9d3e81d9955f53d1c3e"
visenger/awesome-mlops,1a7a04dea7049a86a844d9d3e81d9955f53d1c3e,https://github.com/visenger/awesome-mlops/commit/1a7a04dea7049a86a844d9d3e81d9955f53d1c3e,mlopsnews,96395333.0,User,2024-01-18T07:13:47+00:00,web-flow,2024-01-18T07:13:47+00:00,Update README.md,2,4,6,1,5ee9f4e1dac6360bf918c4ac8594af95ecac6d3b
visenger/awesome-mlops,5ee9f4e1dac6360bf918c4ac8594af95ecac6d3b,https://github.com/visenger/awesome-mlops/commit/5ee9f4e1dac6360bf918c4ac8594af95ecac6d3b,mlopsnews,96395333.0,User,2024-01-18T07:12:54+00:00,web-flow,2024-01-18T07:12:54+00:00,"Update README.md

Update list of books to include MLOps books published in the previous year 2023.",5,0,5,1,e911bbffb43f8197ac8d6e8ebfcdc4e3c39f01c2
visenger/awesome-mlops,3bcbf29684125072bd1efecd7abb3be012b09243,https://github.com/visenger/awesome-mlops/commit/3bcbf29684125072bd1efecd7abb3be012b09243,BastiQ,18186962.0,User,2023-12-26T18:01:44+00:00,BastiQ,2023-12-26T18:01:44+00:00,Added MLOps Insights Newsletter,1,0,1,1,e911bbffb43f8197ac8d6e8ebfcdc4e3c39f01c2
