repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
ydataai/ydata-profiling,c3ce66ca4cc9564e013f71cbb96ed7b3d8fa5c72,https://github.com/ydataai/ydata-profiling/commit/c3ce66ca4cc9564e013f71cbb96ed7b3d8fa5c72,fabclmnt,30911746,User,2025-03-26T00:32:10+00:00,web-flow,2025-03-26T00:32:10+00:00,"chore: add more unit tests for better code coverage (#1745)

* chore: add more unit tests for better code coverage

* chore: remove unused code from tests

* fix(linting): code formatting

* chore: fix whitespaces

* chore: test no longer valid

* fix(linting): code formatting

---------

Co-authored-by: Azory YData Bot <azory@ydata.ai>",178,64,242,3,15494ddab4240f3fa560a9d8ccb07cff0753c0d2
ydataai/ydata-profiling,15494ddab4240f3fa560a9d8ccb07cff0753c0d2,https://github.com/ydataai/ydata-profiling/commit/15494ddab4240f3fa560a9d8ccb07cff0753c0d2,fabclmnt,30911746,User,2025-03-25T23:15:33+00:00,web-flow,2025-03-25T23:15:33+00:00,"fix: add html metrics support for compare (#1744)

* fix: add html metrics support for compare

* fix: add html metrics support for compare

* fix(linting): code formatting

* chore: fix test to include request header

* fix(linting): code formatting

* chore: add unit tests for the compat file

* fix(linting): code formatting

---------

Co-authored-by: Azory YData Bot <azory@ydata.ai>",110,21,131,4,45c47c7d514ebc58930ec9b7c3de81185ee9ba1e
ydataai/ydata-profiling,45c47c7d514ebc58930ec9b7c3de81185ee9ba1e,https://github.com/ydataai/ydata-profiling/commit/45c47c7d514ebc58930ec9b7c3de81185ee9ba1e,ssiegel,5278489,User,2025-03-25T16:44:09+00:00,web-flow,2025-03-25T16:44:09+00:00,"fix: Support Pandas future.infer_string=True in report generation (#1674)

* fix: Support Pandas future.infer_string=True in report generation

Previously, report generation encountered issues when
`future.infer_string=True` was set. This resulted in multiple warnings
(""FutureWarning: Dtype inference on a pandas object is deprecated"") and
failures when string columns contained only empty strings
(""AttributeError: 'StringDtype' object has no attribute
'pyarrow_dtype'"").
This change resolves the issue by explicitly setting the dtype to
""object"" for the relevant operations.

* refactor: Refactor pandas option usage for backward compatibility

- Introduce the `optional_option_context` helper to replace the direct
  use of `pd.option_context(""future.no_silent_downcasting"", True)`,
  ensuring compatibility with older pandas versions that lack this
  option.
- Update the `future.infer_string` test to run only on pandas >= 2.1,
  where it is applicable.

* Add type annotations for optional_option_context

* Make the silent downcasting explicit",49,5,54,4,81d7deb5bc1e080080ba4913baf1188fc54156eb
ydataai/ydata-profiling,81d7deb5bc1e080080ba4913baf1188fc54156eb,https://github.com/ydataai/ydata-profiling/commit/81d7deb5bc1e080080ba4913baf1188fc54156eb,fabclmnt,30911746,User,2025-03-24T21:47:14+00:00,web-flow,2025-03-24T21:47:14+00:00,"feat: refactor code to render HTML and widget flavours (#1740)

* feat: refactor code to render HTML and widget flavours

* fix: code linter issues

* fix: issues related with the banner link

* fix: linter errors with imports from flavour_widget

* fix: remove unused import

* fix: typing fixes

* fix: linting types

* fix: rm circular import

* fix: linting

* fix: linter and typing errors

* feat: update report rendering to show overview

* fix: remove unused import

* fix(linting): code formatting

---------

Co-authored-by: Azory YData Bot <azory@ydata.ai>",302,144,446,16,58c28d1d218291d6ea46af643178b44c291d790d
ydataai/ydata-profiling,58c28d1d218291d6ea46af643178b44c291d790d,https://github.com/ydataai/ydata-profiling/commit/58c28d1d218291d6ea46af643178b44c291d790d,portellaa,1502403,User,2025-03-21T10:20:53+00:00,portellaa,2025-03-21T10:22:46+00:00,chore(renovate): disable automatic actions for develop branch,11,1,12,1,7e6202f2a5df02ea7102311597a8abfa5e9080b9
ydataai/ydata-profiling,7e6202f2a5df02ea7102311597a8abfa5e9080b9,https://github.com/ydataai/ydata-profiling/commit/7e6202f2a5df02ea7102311597a8abfa5e9080b9,portellaa,1502403,User,2025-03-21T09:25:43+00:00,web-flow,2025-03-21T09:25:43+00:00,chore(actions): revert to python 3.11 (#1736),4,4,8,3,5fea5776cefede9f190feb9aa8bed40ab51092a8
ydataai/ydata-profiling,5fea5776cefede9f190feb9aa8bed40ab51092a8,https://github.com/ydataai/ydata-profiling/commit/5fea5776cefede9f190feb9aa8bed40ab51092a8,renovate[bot],29139614,Bot,2025-03-21T02:04:16+00:00,web-flow,2025-03-21T02:04:16+00:00,chore(actions): update dependency ubuntu to v24,9,9,18,4,49cbd07f3e1d4d1b8d672b6b89d621abc0402e5c
ydataai/ydata-profiling,49cbd07f3e1d4d1b8d672b6b89d621abc0402e5c,https://github.com/ydataai/ydata-profiling/commit/49cbd07f3e1d4d1b8d672b6b89d621abc0402e5c,renovate[bot],29139614,Bot,2025-03-21T02:03:59+00:00,web-flow,2025-03-21T02:03:59+00:00,chore(actions): update dependency python to 3.13,2,2,4,1,bee0f40c2ad979d56e8188f4b90d741d3045ba59
ydataai/ydata-profiling,bee0f40c2ad979d56e8188f4b90d741d3045ba59,https://github.com/ydataai/ydata-profiling/commit/bee0f40c2ad979d56e8188f4b90d741d3045ba59,fabclmnt,30911746,User,2025-03-21T02:03:27+00:00,fabclmnt,2025-03-21T02:03:27+00:00,chore: remove renovate automated merges,13,12,25,5,dbc481820e3eab198258846520de25b7ecae1815
ydataai/ydata-profiling,dbc481820e3eab198258846520de25b7ecae1815,https://github.com/ydataai/ydata-profiling/commit/dbc481820e3eab198258846520de25b7ecae1815,renovate[bot],29139614,Bot,2025-03-21T01:58:54+00:00,web-flow,2025-03-21T01:58:54+00:00,chore(actions): update dependency ubuntu to v24,11,11,22,5,f96a6ada65a7284e0a9e41be8a42ea24305c0afa
ydataai/ydata-profiling,f96a6ada65a7284e0a9e41be8a42ea24305c0afa,https://github.com/ydataai/ydata-profiling/commit/f96a6ada65a7284e0a9e41be8a42ea24305c0afa,renovate[bot],29139614,Bot,2025-03-21T01:58:38+00:00,web-flow,2025-03-21T01:58:38+00:00,chore(actions): update dependency python to 3.13,4,4,8,3,92b2de6ac6fa0cfbf1a03b450f1a6a3cf16482fc
ydataai/ydata-profiling,92b2de6ac6fa0cfbf1a03b450f1a6a3cf16482fc,https://github.com/ydataai/ydata-profiling/commit/92b2de6ac6fa0cfbf1a03b450f1a6a3cf16482fc,fabclmnt,30911746,User,2025-03-21T01:58:09+00:00,fabclmnt,2025-03-21T01:58:09+00:00,chore: updt wk to a previous python version in ubuntu,15,15,30,5,3792353e11cdd3e46a6143a0a4925e2336f5c345
ydataai/ydata-profiling,3792353e11cdd3e46a6143a0a4925e2336f5c345,https://github.com/ydataai/ydata-profiling/commit/3792353e11cdd3e46a6143a0a4925e2336f5c345,renovate[bot],29139614,Bot,2025-03-21T01:25:10+00:00,web-flow,2025-03-21T01:25:10+00:00,chore(actions): update dependency ubuntu to v24,2,2,4,1,ff9099c074270f8769011f2cc2e4f0839cdb1030
ydataai/ydata-profiling,ff9099c074270f8769011f2cc2e4f0839cdb1030,https://github.com/ydataai/ydata-profiling/commit/ff9099c074270f8769011f2cc2e4f0839cdb1030,renovate[bot],29139614,Bot,2025-03-21T01:24:57+00:00,web-flow,2025-03-21T01:24:57+00:00,chore(actions): update dependency python to 3.13,2,2,4,1,3fa4441f962a1a7b7560187f1730dcc81886b924
ydataai/ydata-profiling,3fa4441f962a1a7b7560187f1730dcc81886b924,https://github.com/ydataai/ydata-profiling/commit/3fa4441f962a1a7b7560187f1730dcc81886b924,fabclmnt,30911746,User,2025-03-20T18:38:41+00:00,web-flow,2025-03-20T18:38:41+00:00,"fix: add a new env variable for banner (#1735)

* fix: add a new env variable for banner

* fix: fix wk to validate docs

* chore: fix wk for code linter

* fix(linting): code formatting

---------

Co-authored-by: Azory YData Bot <azory@ydata.ai>",10,10,20,2,ad5df60196ba894b18b72055c09b80d94350f218
ydataai/ydata-profiling,ad5df60196ba894b18b72055c09b80d94350f218,https://github.com/ydataai/ydata-profiling/commit/ad5df60196ba894b18b72055c09b80d94350f218,renovate[bot],29139614,Bot,2025-03-19T01:11:34+00:00,web-flow,2025-03-19T01:11:34+00:00,chore(actions): update dependency ubuntu to v24,9,9,18,4,806fa35259835cd1b7ae8e4dd4e6cec6578d8b53
ydataai/ydata-profiling,806fa35259835cd1b7ae8e4dd4e6cec6578d8b53,https://github.com/ydataai/ydata-profiling/commit/806fa35259835cd1b7ae8e4dd4e6cec6578d8b53,renovate[bot],29139614,Bot,2025-03-19T01:11:14+00:00,web-flow,2025-03-19T01:11:14+00:00,chore(actions): update dependency python to 3.13,4,4,8,3,d82ff791c37e9caaf9b36692dc5288627477630b
